lower, upper, rate
1000, 1084, 10.650001
1084, 1168, 10.700000
1168, 1252, 9.366667
1252, 1336, 8.066667
1336, 1420, 8.383334
1420, 1504, 7.866667
1504, 1588, 6.733334
1588, 1672, 6.883334
1672, 1756, 5.883333
1756, 1840, 5.983334
1840, 1924, 4.733333
1924, 2008, 5.166667
2008, 2092, 5.650000
2092, 2176, 5.533333
2176, 2260, 4.733333
2260, 2344, 3.766667
2344, 2428, 3.416667
2428, 2512, 3.833333
2512, 2596, 3.316667
2596, 2680, 2.733333
2680, 2764, 3.250000
2764, 2848, 2.883333
2848, 2932, 2.383333
2932, 3016, 2.166667
3016, 3100, 3.600000
3100, 3184, 3.850000
3184, 3268, 3.283334
3268, 3352, 1.733333
3352, 3436, 1.416667
3436, 3520, 1.083333
3520, 3604, 0.983333
3604, 3688, 1.200000
3688, 3772, 1.166667
3772, 3856, 1.033333
3856, 3940, 1.050000
3940, 4024, 1.016667
4024, 4108, 0.850000
4108, 4192, 0.883333
4192, 4276, 0.750000
4276, 4360, 1.100000
4360, 4444, 0.916667
4444, 4528, 1.116667
4528, 4612, 1.000000
4612, 4696, 1.000000
4696, 4780, 1.050000
4780, 4864, 1.116667
4864, 4948, 0.933333
4948, 5032, 0.983333
5032, 5116, 1.033333
5116, 5200, 1.216667
5200, 5284, 1.366667
5284, 5368, 1.233333
5368, 5452, 1.050000
5452, 5536, 1.133333
5536, 5620, 0.900000
5620, 5704, 0.983333
5704, 5788, 0.800000
5788, 5872, 1.100000
5872, 5956, 1.166667
5956, 6040, 0.833333
6040, 6124, 0.650000
6124, 6208, 0.416667
6208, 6292, 0.316667
6292, 6376, 0.216667
6376, 6460, 0.233333
6460, 6544, 0.216667
6544, 6628, 0.383333
6628, 6712, 0.250000
6712, 6796, 0.266667
6796, 6880, 0.200000
6880, 6964, 0.150000
6964, 7048, 0.183333
7048, 7132, 0.183333
7132, 7216, 0.183333
7216, 7300, 0.116667
7300, 7384, 0.116667
7384, 7468, 0.150000
7468, 7552, 0.283333
7552, 7636, 0.166667
7636, 7720, 0.133333
7720, 7804, 0.166667
7804, 7888, 0.083333
7888, 7972, 0.116667
7972, 8056, 0.150000
