lower, upper, rate
1000, 1084, 7.925000
1084, 1168, 7.675000
1168, 1252, 6.925000
1252, 1336, 5.475000
1336, 1420, 5.975000
1420, 1504, 6.100000
1504, 1588, 5.700000
1588, 1672, 5.100000
1672, 1756, 3.950000
1756, 1840, 4.700000
1840, 1924, 3.275000
1924, 2008, 3.175000
2008, 2092, 4.400000
2092, 2176, 5.450000
2176, 2260, 4.000000
2260, 2344, 2.575000
2344, 2428, 1.850000
2428, 2512, 2.325000
2512, 2596, 2.375000
2596, 2680, 1.500000
2680, 2764, 1.650000
2764, 2848, 1.700000
2848, 2932, 1.050000
2932, 3016, 1.100000
3016, 3100, 1.575000
3100, 3184, 1.900000
3184, 3268, 1.700000
3268, 3352, 1.125000
3352, 3436, 0.850000
3436, 3520, 0.775000
3520, 3604, 1.075000
3604, 3688, 0.725000
3688, 3772, 0.650000
3772, 3856, 0.525000
3856, 3940, 0.400000
3940, 4024, 0.525000
4024, 4108, 0.450000
4108, 4192, 0.600000
4192, 4276, 0.400000
4276, 4360, 0.525000
4360, 4444, 0.400000
4444, 4528, 0.325000
4528, 4612, 0.550000
4612, 4696, 0.425000
4696, 4780, 0.450000
4780, 4864, 0.475000
4864, 4948, 0.300000
4948, 5032, 0.500000
5032, 5116, 0.400000
5116, 5200, 0.425000
5200, 5284, 0.550000
5284, 5368, 0.325000
5368, 5452, 0.450000
5452, 5536, 0.425000
5536, 5620, 0.150000
5620, 5704, 0.275000
5704, 5788, 0.325000
5788, 5872, 0.375000
5872, 5956, 0.300000
5956, 6040, 0.350000
6040, 6124, 0.350000
6124, 6208, 0.300000
6208, 6292, 0.325000
6292, 6376, 0.175000
6376, 6460, 0.225000
6460, 6544, 0.250000
6544, 6628, 0.125000
6628, 6712, 0.225000
6712, 6796, 0.150000
6796, 6880, 0.075000
6880, 6964, 0.225000
6964, 7048, 0.100000
7048, 7132, 0.075000
7132, 7216, 0.150000
7216, 7300, 0.100000
7300, 7384, 0.150000
7384, 7468, 0.125000
7468, 7552, 0.150000
7552, 7636, 0.050000
7636, 7720, 0.175000
7720, 7804, 0.175000
7804, 7888, 0.075000
7888, 7972, 0.175000
7972, 8056, 0.200000
