lower, upper, rate
1000, 1084, 44.574997
1084, 1168, 41.149998
1168, 1252, 34.949997
1252, 1336, 33.650002
1336, 1420, 31.450001
1420, 1504, 25.875000
1504, 1588, 26.575001
1588, 1672, 25.599998
1672, 1756, 22.950001
1756, 1840, 20.175001
1840, 1924, 21.400000
1924, 2008, 24.199999
2008, 2092, 19.600000
2092, 2176, 16.975000
2176, 2260, 16.875000
2260, 2344, 16.375000
2344, 2428, 17.625000
2428, 2512, 15.100000
2512, 2596, 12.800000
2596, 2680, 10.700001
2680, 2764, 10.800000
2764, 2848, 14.450000
2848, 2932, 21.874998
2932, 3016, 18.375000
3016, 3100, 9.400000
3100, 3184, 5.425000
3184, 3268, 4.325000
3268, 3352, 4.775000
3352, 3436, 5.575000
3436, 3520, 4.550000
3520, 3604, 4.400000
3604, 3688, 3.525000
3688, 3772, 3.700000
3772, 3856, 3.800000
3856, 3940, 3.375000
3940, 4024, 3.025000
4024, 4108, 3.475000
4108, 4192, 3.700000
4192, 4276, 3.575000
4276, 4360, 3.950000
4360, 4444, 4.400000
4444, 4528, 4.550000
4528, 4612, 4.250000
4612, 4696, 4.050000
4696, 4780, 3.875000
4780, 4864, 4.550000
4864, 4948, 5.625000
4948, 5032, 5.050000
5032, 5116, 3.425000
5116, 5200, 3.425000
5200, 5284, 3.125000
5284, 5368, 3.175000
5368, 5452, 4.375000
5452, 5536, 4.150000
5536, 5620, 3.325000
5620, 5704, 2.375000
5704, 5788, 1.400000
5788, 5872, 0.925000
5872, 5956, 1.075000
5956, 6040, 0.925000
6040, 6124, 1.100000
6124, 6208, 0.575000
6208, 6292, 1.225000
6292, 6376, 0.775000
6376, 6460, 0.825000
6460, 6544, 0.925000
6544, 6628, 1.100000
6628, 6712, 0.750000
6712, 6796, 1.200000
6796, 6880, 0.975000
6880, 6964, 0.775000
6964, 7048, 0.850000
7048, 7132, 0.750000
7132, 7216, 0.800000
7216, 7300, 0.625000
7300, 7384, 0.825000
7384, 7468, 0.600000
7468, 7552, 0.650000
7552, 7636, 0.575000
7636, 7720, 0.525000
7720, 7804, 0.600000
7804, 7888, 0.400000
7888, 7972, 0.775000
7972, 8056, 0.575000
