lower, upper, rate
1000, 1084, 16.366667
1084, 1168, 14.550000
1168, 1252, 13.383334
1252, 1336, 12.050000
1336, 1420, 11.933333
1420, 1504, 11.533333
1504, 1588, 9.683333
1588, 1672, 9.000000
1672, 1756, 9.150000
1756, 1840, 8.550000
1840, 1924, 7.400000
1924, 2008, 7.550000
2008, 2092, 8.516666
2092, 2176, 7.266666
2176, 2260, 6.233334
2260, 2344, 6.183333
2344, 2428, 5.733334
2428, 2512, 5.933334
2512, 2596, 5.966667
2596, 2680, 5.200000
2680, 2764, 3.900000
2764, 2848, 3.433333
2848, 2932, 5.066667
2932, 3016, 6.183333
3016, 3100, 6.050000
3100, 3184, 4.866666
3184, 3268, 2.866667
3268, 3352, 1.833333
3352, 3436, 2.016667
3436, 3520, 2.033333
3520, 3604, 2.000000
3604, 3688, 1.500000
3688, 3772, 1.333333
3772, 3856, 1.716667
3856, 3940, 1.566667
3940, 4024, 1.516667
4024, 4108, 1.216667
4108, 4192, 1.216667
4192, 4276, 1.450000
4276, 4360, 1.550000
4360, 4444, 1.600000
4444, 4528, 1.566667
4528, 4612, 1.500000
4612, 4696, 1.800000
4696, 4780, 1.650000
4780, 4864, 1.633333
4864, 4948, 1.966667
4948, 5032, 1.750000
5032, 5116, 2.616667
5116, 5200, 2.366667
5200, 5284, 2.650000
5284, 5368, 1.783333
5368, 5452, 1.316667
5452, 5536, 1.083333
5536, 5620, 1.366667
5620, 5704, 2.000000
5704, 5788, 1.900000
5788, 5872, 1.466667
5872, 5956, 1.266667
5956, 6040, 0.750000
6040, 6124, 0.433333
6124, 6208, 0.300000
6208, 6292, 0.350000
6292, 6376, 0.233333
6376, 6460, 0.350000
6460, 6544, 0.316667
6544, 6628, 0.283333
6628, 6712, 0.283333
6712, 6796, 0.233333
6796, 6880, 0.300000
6880, 6964, 0.233333
6964, 7048, 0.250000
7048, 7132, 0.216667
7132, 7216, 0.283333
7216, 7300, 0.233333
7300, 7384, 0.250000
7384, 7468, 0.133333
7468, 7552, 0.233333
7552, 7636, 0.300000
7636, 7720, 0.283333
7720, 7804, 0.316667
7804, 7888, 0.166667
7888, 7972, 0.200000
7972, 8056, 0.200000
