lower, upper, rate
1000, 1084, 10.050000
1084, 1168, 9.200000
1168, 1252, 8.300000
1252, 1336, 7.500000
1336, 1420, 7.575000
1420, 1504, 6.375000
1504, 1588, 6.300000
1588, 1672, 5.450000
1672, 1756, 5.100000
1756, 1840, 4.525000
1840, 1924, 3.900000
1924, 2008, 4.200000
2008, 2092, 4.825000
2092, 2176, 6.925000
2176, 2260, 4.500000
2260, 2344, 3.075000
2344, 2428, 1.800000
2428, 2512, 2.050000
2512, 2596, 2.400000
2596, 2680, 1.950000
2680, 2764, 1.650000
2764, 2848, 1.525000
2848, 2932, 1.625000
2932, 3016, 1.100000
3016, 3100, 1.475000
3100, 3184, 2.125000
3184, 3268, 1.575000
3268, 3352, 0.925000
3352, 3436, 0.775000
3436, 3520, 0.650000
3520, 3604, 1.000000
3604, 3688, 0.925000
3688, 3772, 0.875000
3772, 3856, 0.875000
3856, 3940, 0.675000
3940, 4024, 0.600000
4024, 4108, 0.675000
4108, 4192, 0.650000
4192, 4276, 0.425000
4276, 4360, 0.400000
4360, 4444, 0.475000
4444, 4528, 0.450000
4528, 4612, 0.325000
4612, 4696, 0.575000
4696, 4780, 0.300000
4780, 4864, 0.475000
4864, 4948, 0.275000
4948, 5032, 0.225000
5032, 5116, 0.425000
5116, 5200, 0.350000
5200, 5284, 0.500000
5284, 5368, 0.625000
5368, 5452, 0.350000
5452, 5536, 0.275000
5536, 5620, 0.400000
5620, 5704, 0.250000
5704, 5788, 0.350000
5788, 5872, 0.375000
5872, 5956, 0.350000
5956, 6040, 0.275000
6040, 6124, 0.400000
6124, 6208, 0.200000
6208, 6292, 0.125000
6292, 6376, 0.125000
6376, 6460, 0.200000
6460, 6544, 0.100000
6544, 6628, 0.100000
6628, 6712, 0.100000
6712, 6796, 0.100000
6796, 6880, 0.075000
6880, 6964, 0.125000
6964, 7048, 0.175000
7048, 7132, 0.125000
7132, 7216, 0.175000
7216, 7300, 0.100000
7300, 7384, 0.200000
7384, 7468, 0.125000
7468, 7552, 0.150000
7552, 7636, 0.150000
7636, 7720, 0.050000
7720, 7804, 0.200000
7804, 7888, 0.175000
7888, 7972, 0.125000
7972, 8056, 0.050000
