lower, upper, rate
1000, 1084, 42.099998
1084, 1168, 36.000000
1168, 1252, 32.825001
1252, 1336, 29.299999
1336, 1420, 28.025000
1420, 1504, 25.800001
1504, 1588, 22.775000
1588, 1672, 21.825001
1672, 1756, 22.725000
1756, 1840, 19.799999
1840, 1924, 19.725000
1924, 2008, 17.775000
2008, 2092, 16.350000
2092, 2176, 16.549999
2176, 2260, 18.775000
2260, 2344, 17.575001
2344, 2428, 14.175000
2428, 2512, 11.974999
2512, 2596, 13.425000
2596, 2680, 14.125000
2680, 2764, 12.300000
2764, 2848, 12.075000
2848, 2932, 10.750000
2932, 3016, 9.975000
3016, 3100, 7.925000
3100, 3184, 8.650001
3184, 3268, 12.300000
3268, 3352, 16.924999
3352, 3436, 14.200000
3436, 3520, 7.100000
3520, 3604, 4.375000
3604, 3688, 3.700000
3688, 3772, 3.625000
3772, 3856, 3.075000
3856, 3940, 3.950000
3940, 4024, 3.225000
4024, 4108, 3.375000
4108, 4192, 3.275000
4192, 4276, 2.675000
4276, 4360, 3.175000
4360, 4444, 2.925000
4444, 4528, 2.750000
4528, 4612, 2.900000
4612, 4696, 2.800000
4696, 4780, 2.850000
4780, 4864, 3.325000
4864, 4948, 3.325000
4948, 5032, 3.875000
5032, 5116, 2.925000
5116, 5200, 2.850000
5200, 5284, 3.175000
5284, 5368, 3.275000
5368, 5452, 2.825000
5452, 5536, 3.100000
5536, 5620, 3.950000
5620, 5704, 4.425000
5704, 5788, 4.050000
5788, 5872, 3.050000
5872, 5956, 3.025000
5956, 6040, 2.325000
6040, 6124, 2.400000
6124, 6208, 3.000000
6208, 6292, 3.575000
6292, 6376, 3.100000
6376, 6460, 2.475000
6460, 6544, 1.325000
6544, 6628, 1.450000
6628, 6712, 1.125000
6712, 6796, 0.725000
6796, 6880, 0.850000
6880, 6964, 0.850000
6964, 7048, 0.850000
7048, 7132, 0.725000
7132, 7216, 0.500000
7216, 7300, 0.625000
7300, 7384, 0.775000
7384, 7468, 0.725000
7468, 7552, 0.800000
7552, 7636, 0.725000
7636, 7720, 0.550000
7720, 7804, 0.725000
7804, 7888, 0.625000
7888, 7972, 0.500000
7972, 8056, 0.800000
