lower, upper, rate
1000, 1084, 17.449999
1084, 1168, 16.116667
1168, 1252, 15.300000
1252, 1336, 13.899999
1336, 1420, 12.533333
1420, 1504, 12.616668
1504, 1588, 11.716667
1588, 1672, 10.283333
1672, 1756, 10.133332
1756, 1840, 9.133333
1840, 1924, 9.216666
1924, 2008, 8.800000
2008, 2092, 8.516665
2092, 2176, 9.616668
2176, 2260, 7.450000
2260, 2344, 6.933334
2344, 2428, 7.200000
2428, 2512, 6.933333
2512, 2596, 7.883333
2596, 2680, 6.416667
2680, 2764, 6.150000
2764, 2848, 5.200000
2848, 2932, 4.566667
2932, 3016, 4.983334
3016, 3100, 8.300000
3100, 3184, 9.566667
3184, 3268, 6.583333
3268, 3352, 3.466667
3352, 3436, 2.116667
3436, 3520, 2.033333
3520, 3604, 2.316667
3604, 3688, 2.583333
3688, 3772, 2.516667
3772, 3856, 2.366667
3856, 3940, 1.900000
3940, 4024, 2.033333
4024, 4108, 1.833333
4108, 4192, 2.233333
4192, 4276, 2.083333
4276, 4360, 1.816667
4360, 4444, 2.050000
4444, 4528, 2.100000
4528, 4612, 2.100000
4612, 4696, 2.200000
4696, 4780, 2.250000
4780, 4864, 2.166667
4864, 4948, 2.350000
4948, 5032, 2.200000
5032, 5116, 1.700000
5116, 5200, 1.850000
5200, 5284, 2.816667
5284, 5368, 3.266667
5368, 5452, 3.383333
5452, 5536, 2.383333
5536, 5620, 1.933333
5620, 5704, 1.933333
5704, 5788, 1.833333
5788, 5872, 2.050000
5872, 5956, 3.083333
5956, 6040, 3.050000
6040, 6124, 2.016667
6124, 6208, 1.133333
6208, 6292, 0.500000
6292, 6376, 0.366667
6376, 6460, 0.233333
6460, 6544, 0.350000
6544, 6628, 0.316667
6628, 6712, 0.433333
6712, 6796, 0.400000
6796, 6880, 0.400000
6880, 6964, 0.416667
6964, 7048, 0.366667
7048, 7132, 0.150000
7132, 7216, 0.300000
7216, 7300, 0.233333
7300, 7384, 0.400000
7384, 7468, 0.283333
7468, 7552, 0.250000
7552, 7636, 0.216667
7636, 7720, 0.200000
7720, 7804, 0.316667
7804, 7888, 0.350000
7888, 7972, 0.283333
7972, 8056, 0.350000
