lower, upper, rate
1000, 1084, 39.133331
1084, 1168, 35.883331
1168, 1252, 33.583336
1252, 1336, 30.783333
1336, 1420, 27.333334
1420, 1504, 26.783335
1504, 1588, 24.283333
1588, 1672, 21.766668
1672, 1756, 23.500000
1756, 1840, 22.699999
1840, 1924, 20.049999
1924, 2008, 17.966665
2008, 2092, 17.133333
2092, 2176, 17.216667
2176, 2260, 15.283333
2260, 2344, 13.016667
2344, 2428, 11.283334
2428, 2512, 12.250000
2512, 2596, 21.416666
2596, 2680, 20.033333
2680, 2764, 9.300000
2764, 2848, 5.650000
2848, 2932, 5.066667
2932, 3016, 4.783333
3016, 3100, 5.233333
3100, 3184, 5.083333
3184, 3268, 4.016667
3268, 3352, 4.066667
3352, 3436, 4.466667
3436, 3520, 3.866667
3520, 3604, 3.833333
3604, 3688, 4.233333
3688, 3772, 4.716667
3772, 3856, 4.400000
3856, 3940, 4.216667
3940, 4024, 4.783333
4024, 4108, 4.200000
4108, 4192, 4.116666
4192, 4276, 4.366666
4276, 4360, 5.583333
4360, 4444, 6.200000
4444, 4528, 5.066667
4528, 4612, 4.700000
4612, 4696, 3.366667
4696, 4780, 3.400000
4780, 4864, 4.500000
4864, 4948, 5.450000
4948, 5032, 3.500000
5032, 5116, 2.516667
5116, 5200, 1.400000
5200, 5284, 1.166667
5284, 5368, 1.216667
5368, 5452, 1.300000
5452, 5536, 1.483333
5536, 5620, 1.000000
5620, 5704, 1.083333
5704, 5788, 1.333333
5788, 5872, 1.050000
5872, 5956, 0.966667
5956, 6040, 1.016667
6040, 6124, 0.816667
6124, 6208, 0.800000
6208, 6292, 0.683333
6292, 6376, 0.833333
6376, 6460, 0.816667
6460, 6544, 0.766667
6544, 6628, 0.683333
6628, 6712, 0.633333
6712, 6796, 0.733333
6796, 6880, 0.750000
6880, 6964, 0.716667
6964, 7048, 0.700000
7048, 7132, 0.500000
7132, 7216, 0.716667
7216, 7300, 0.683333
7300, 7384, 0.583333
7384, 7468, 0.600000
7468, 7552, 0.666667
7552, 7636, 0.516667
7636, 7720, 0.550000
7720, 7804, 0.216667
7804, 7888, 0.383333
7888, 7972, 0.233333
7972, 8056, 0.283333
