lower, upper, rate
1000, 1084, 14.333333
1084, 1168, 13.733334
1168, 1252, 11.483333
1252, 1336, 12.033333
1336, 1420, 10.033334
1420, 1504, 9.583333
1504, 1588, 9.483334
1588, 1672, 8.583333
1672, 1756, 8.516666
1756, 1840, 7.250000
1840, 1924, 7.866667
1924, 2008, 8.266667
2008, 2092, 6.933334
2092, 2176, 5.833333
2176, 2260, 5.833333
2260, 2344, 5.716667
2344, 2428, 4.950000
2428, 2512, 4.083333
2512, 2596, 4.066667
2596, 2680, 3.666667
2680, 2764, 3.600000
2764, 2848, 4.650000
2848, 2932, 6.000000
2932, 3016, 4.216667
3016, 3100, 2.183333
3100, 3184, 1.866667
3184, 3268, 1.883333
3268, 3352, 1.466667
3352, 3436, 1.850000
3436, 3520, 1.666667
3520, 3604, 1.366667
3604, 3688, 1.400000
3688, 3772, 1.133333
3772, 3856, 1.333333
3856, 3940, 1.283333
3940, 4024, 1.200000
4024, 4108, 1.166667
4108, 4192, 1.233333
4192, 4276, 1.333333
4276, 4360, 1.300000
4360, 4444, 1.416667
4444, 4528, 1.500000
4528, 4612, 1.516667
4612, 4696, 1.533333
4696, 4780, 1.533333
4780, 4864, 1.666667
4864, 4948, 1.900000
4948, 5032, 1.566667
5032, 5116, 1.583333
5116, 5200, 1.150000
5200, 5284, 1.200000
5284, 5368, 1.316667
5368, 5452, 1.450000
5452, 5536, 1.866667
5536, 5620, 1.250000
5620, 5704, 0.616667
5704, 5788, 0.300000
5788, 5872, 0.216667
5872, 5956, 0.316667
5956, 6040, 0.450000
6040, 6124, 0.300000
6124, 6208, 0.283333
6208, 6292, 0.133333
6292, 6376, 0.216667
6376, 6460, 0.216667
6460, 6544, 0.200000
6544, 6628, 0.250000
6628, 6712, 0.316667
6712, 6796, 0.233333
6796, 6880, 0.216667
6880, 6964, 0.350000
6964, 7048, 0.100000
7048, 7132, 0.233333
7132, 7216, 0.216667
7216, 7300, 0.183333
7300, 7384, 0.350000
7384, 7468, 0.150000
7468, 7552, 0.200000
7552, 7636, 0.150000
7636, 7720, 0.150000
7720, 7804, 0.166667
7804, 7888, 0.250000
7888, 7972, 0.116667
7972, 8056, 0.166667
