lower, upper, rate
6208, 6292, 3.815625
6292, 6376, 3.518750
6376, 6460, 3.440625
6460, 6544, 4.009375
6544, 6628, 4.640625
6628, 6712, 4.321876
6712, 6796, 3.606250
6796, 6880, 2.675000
6880, 6964, 1.915625
6964, 7048, 1.543750
