lower, upper, rate
1000, 1084, 8.566667
1084, 1168, 8.366667
1168, 1252, 8.050000
1252, 1336, 6.733334
1336, 1420, 6.366667
1420, 1504, 5.883333
1504, 1588, 5.733333
1588, 1672, 4.900000
1672, 1756, 5.416667
1756, 1840, 3.766667
1840, 1924, 4.450000
1924, 2008, 5.100000
2008, 2092, 4.633333
2092, 2176, 3.100000
2176, 2260, 3.050000
2260, 2344, 2.950000
2344, 2428, 3.050000
2428, 2512, 2.933333
2512, 2596, 2.100000
2596, 2680, 1.900000
2680, 2764, 1.750000
2764, 2848, 1.966667
2848, 2932, 3.400000
2932, 3016, 2.700000
3016, 3100, 1.600000
3100, 3184, 1.083333
3184, 3268, 0.883333
3268, 3352, 1.050000
3352, 3436, 0.900000
3436, 3520, 1.033333
3520, 3604, 0.766667
3604, 3688, 0.550000
3688, 3772, 0.583333
3772, 3856, 0.716667
3856, 3940, 0.750000
3940, 4024, 0.716667
4024, 4108, 0.683333
4108, 4192, 0.683333
4192, 4276, 0.916667
4276, 4360, 0.700000
4360, 4444, 0.616667
4444, 4528, 0.616667
4528, 4612, 0.666667
4612, 4696, 0.750000
4696, 4780, 0.850000
4780, 4864, 0.700000
4864, 4948, 0.933333
4948, 5032, 0.850000
5032, 5116, 0.800000
5116, 5200, 0.583333
5200, 5284, 0.666667
5284, 5368, 0.583333
5368, 5452, 0.533333
5452, 5536, 0.516667
5536, 5620, 0.850000
5620, 5704, 0.600000
5704, 5788, 0.466667
5788, 5872, 0.216667
5872, 5956, 0.166667
5956, 6040, 0.233333
6040, 6124, 0.166667
6124, 6208, 0.083333
6208, 6292, 0.133333
6292, 6376, 0.133333
6376, 6460, 0.133333
6460, 6544, 0.133333
6544, 6628, 0.100000
6628, 6712, 0.033333
6712, 6796, 0.166667
6796, 6880, 0.150000
6880, 6964, 0.166667
6964, 7048, 0.116667
7048, 7132, 0.066667
7132, 7216, 0.150000
7216, 7300, 0.166667
7300, 7384, 0.200000
7384, 7468, 0.133333
7468, 7552, 0.216667
7552, 7636, 0.116667
7636, 7720, 0.033333
7720, 7804, 0.100000
7804, 7888, 0.216667
7888, 7972, 0.183333
7972, 8056, 0.133333
