lower, upper,rate
1000,1084,10.74
1084,1168,8.7600006
1168,1252,8.3700006
1252,1336,8.1100004
1336,1420,7.1199998
1420,1504,6.9999998
1504,1588,6.3099998
1588,1672,6.3599998
1672,1756,6.03
1756,1840,5.1900002
1840,1924,4.83
1924,2008,4.52
2008,2092,4.58
2092,2176,4.0399998
2176,2260,3.9399998
2260,2344,4.1000002
2344,2428,4.29
2428,2512,3.2799998
2512,2596,2.9299998
2596,2680,2.7999998
2680,2764,2.5400002
2764,2848,2.44
2848,2932,2.1900002
2932,3016,2.2299998
3016,3100,1.97
3100,3184,1.8199998
3184,3268,1.6800002
3268,3352,2.0599998
3352,3436,2.21
3436,3520,2.8099998
3520,3604,2.5399998
3604,3688,1.42
3688,3772,0.96
3772,3856,0.8600002
3856,3940,0.8100002
3940,4024,0.86
4024,4108,0.82
4108,4192,1.06
4192,4276,0.79
4276,4360,0.6099998
4360,4444,0.56
4444,4528,0.6099998
4528,4612,0.4999998
4612,4696,0.7500002
4696,4780,0.4699998
4780,4864,0.5899998
4864,4948,0.8100002
4948,5032,0.6400002
5032,5116,0.64
5116,5200,0.61
5200,5284,0.64
5284,5368,0.53
5368,5452,0.64
5452,5536,0.5700002
5536,5620,0.6299998
5620,5704,0.64
5704,5788,0.6699998
5788,5872,0.8
5872,5956,0.8800002
5956,6040,0.64
6040,6124,0.7999998
6124,6208,0.77
6208,6292,0.5399998
6292,6376,0.56
6376,6460,0.5100002
6460,6544,0.5599998
6544,6628,0.6800002
6628,6712,0.6700002
6712,6796,0.4699998
6796,6880,0.3
6880,6964,0.29
6964,7048,0.2499998
7048,7132,0.21
7132,7216,0.1600002
7216,7300,0.1599998
7300,7384,0.1199998
7384,7468,0.1200002
7468,7552,0.2000002
7552,7636,0.1499998
7636,7720,0.0900002
7720,7804,0.1799998
7804,7888,0.15
7888,7972,0.26
7972,8056,0.1999998
