lower, upper, rate
1000, 1084, 12.250000
1084, 1168, 11.049999
1168, 1252, 10.450000
1252, 1336, 9.400000
1336, 1420, 7.800000
1420, 1504, 8.000000
1504, 1588, 7.150000
1588, 1672, 6.100000
1672, 1756, 6.425000
1756, 1840, 5.925000
1840, 1924, 5.375000
1924, 2008, 4.975000
2008, 2092, 5.275000
2092, 2176, 6.575000
2176, 2260, 4.625000
2260, 2344, 3.800000
2344, 2428, 4.150000
2428, 2512, 4.050000
2512, 2596, 4.000000
2596, 2680, 3.600000
2680, 2764, 3.350000
2764, 2848, 2.175000
2848, 2932, 2.400000
2932, 3016, 2.700000
3016, 3100, 3.175000
3100, 3184, 4.875000
3184, 3268, 2.250000
3268, 3352, 1.425000
3352, 3436, 1.125000
3436, 3520, 1.075000
3520, 3604, 1.475000
3604, 3688, 1.125000
3688, 3772, 1.175000
3772, 3856, 0.800000
3856, 3940, 1.150000
3940, 4024, 1.050000
4024, 4108, 1.025000
4108, 4192, 1.225000
4192, 4276, 0.800000
4276, 4360, 1.000000
4360, 4444, 0.900000
4444, 4528, 0.925000
4528, 4612, 1.125000
4612, 4696, 0.925000
4696, 4780, 1.175000
4780, 4864, 0.925000
4864, 4948, 1.075000
4948, 5032, 0.975000
5032, 5116, 0.875000
5116, 5200, 1.225000
5200, 5284, 1.125000
5284, 5368, 1.200000
5368, 5452, 1.000000
5452, 5536, 0.825000
5536, 5620, 0.975000
5620, 5704, 1.000000
5704, 5788, 0.525000
5788, 5872, 0.950000
5872, 5956, 0.850000
5956, 6040, 1.075000
6040, 6124, 0.525000
6124, 6208, 0.375000
6208, 6292, 0.250000
6292, 6376, 0.125000
6376, 6460, 0.200000
6460, 6544, 0.200000
6544, 6628, 0.100000
6628, 6712, 0.250000
6712, 6796, 0.175000
6796, 6880, 0.150000
6880, 6964, 0.125000
6964, 7048, 0.175000
7048, 7132, 0.225000
7132, 7216, 0.225000
7216, 7300, 0.100000
7300, 7384, 0.100000
7384, 7468, 0.200000
7468, 7552, 0.225000
7552, 7636, 0.225000
7636, 7720, 0.150000
7720, 7804, 0.150000
7804, 7888, 0.125000
7888, 7972, 0.350000
7972, 8056, 0.125000
