lower, upper, rate
1000, 1084, 19.000000
1084, 1168, 16.650002
1168, 1252, 16.275000
1252, 1336, 15.450000
1336, 1420, 14.825000
1420, 1504, 13.025001
1504, 1588, 12.050000
1588, 1672, 12.725000
1672, 1756, 11.275001
1756, 1840, 9.950000
1840, 1924, 9.450000
1924, 2008, 10.350000
2008, 2092, 10.975000
2092, 2176, 8.800000
2176, 2260, 7.950000
2260, 2344, 7.300000
2344, 2428, 8.500000
2428, 2512, 7.325000
2512, 2596, 6.975000
2596, 2680, 6.400000
2680, 2764, 5.625000
2764, 2848, 5.250000
2848, 2932, 5.275000
2932, 3016, 8.100000
3016, 3100, 9.099999
3100, 3184, 6.050000
3184, 3268, 3.000000
3268, 3352, 2.525000
3352, 3436, 2.900000
3436, 3520, 2.500000
3520, 3604, 2.425000
3604, 3688, 2.425000
3688, 3772, 2.225000
3772, 3856, 1.775000
3856, 3940, 1.950000
3940, 4024, 1.900000
4024, 4108, 2.125000
4108, 4192, 2.250000
4192, 4276, 2.075000
4276, 4360, 2.075000
4360, 4444, 2.800000
4444, 4528, 2.950000
4528, 4612, 2.175000
4612, 4696, 2.050000
4696, 4780, 2.275000
4780, 4864, 2.400000
4864, 4948, 2.300000
4948, 5032, 2.650000
5032, 5116, 3.450000
5116, 5200, 3.000000
5200, 5284, 3.500000
5284, 5368, 2.400000
5368, 5452, 1.675000
5452, 5536, 2.075000
5536, 5620, 2.250000
5620, 5704, 3.425000
5704, 5788, 3.100000
5788, 5872, 2.000000
5872, 5956, 1.450000
5956, 6040, 1.000000
6040, 6124, 0.450000
6124, 6208, 0.250000
6208, 6292, 0.375000
6292, 6376, 0.500000
6376, 6460, 0.250000
6460, 6544, 0.400000
6544, 6628, 0.425000
6628, 6712, 0.200000
6712, 6796, 0.300000
6796, 6880, 0.500000
6880, 6964, 0.275000
6964, 7048, 0.375000
7048, 7132, 0.325000
7132, 7216, 0.375000
7216, 7300, 0.475000
7300, 7384, 0.475000
7384, 7468, 0.500000
7468, 7552, 0.325000
7552, 7636, 0.400000
7636, 7720, 0.250000
7720, 7804, 0.300000
7804, 7888, 0.200000
7888, 7972, 0.350000
7972, 8056, 0.200000
