lower, upper, rate
1000, 1084, 11.250000
1084, 1168, 8.400001
1168, 1252, 8.150001
1252, 1336, 8.283334
1336, 1420, 6.583333
1420, 1504, 6.883333
1504, 1588, 6.433333
1588, 1672, 6.583333
1672, 1756, 6.150000
1756, 1840, 5.316667
1840, 1924, 5.000000
1924, 2008, 4.400000
2008, 2092, 4.800000
2092, 2176, 3.983333
2176, 2260, 3.933333
2260, 2344, 4.316667
2344, 2428, 4.500000
2428, 2512, 3.333333
2512, 2596, 2.933333
2596, 2680, 2.633333
2680, 2764, 2.366667
2764, 2848, 2.350000
2848, 2932, 2.216667
2932, 3016, 2.233333
3016, 3100, 1.950000
3100, 3184, 1.683333
3184, 3268, 1.816667
3268, 3352, 1.883333
3352, 3436, 2.250000
3436, 3520, 2.733333
3520, 3604, 2.333333
3604, 3688, 1.400000
3688, 3772, 0.800000
3772, 3856, 0.866667
3856, 3940, 0.766667
3940, 4024, 0.900000
4024, 4108, 0.750000
4108, 4192, 1.150000
4192, 4276, 0.750000
4276, 4360, 0.633333
4360, 4444, 0.550000
4444, 4528, 0.683333
4528, 4612, 0.433333
4612, 4696, 0.816667
4696, 4780, 0.433333
4780, 4864, 0.583333
4864, 4948, 0.766667
4948, 5032, 0.616667
5032, 5116, 0.700000
5116, 5200, 0.550000
5200, 5284, 0.600000
5284, 5368, 0.450000
5368, 5452, 0.600000
5452, 5536, 0.566667
5536, 5620, 0.833333
5620, 5704, 0.550000
5704, 5788, 0.683333
5788, 5872, 0.850000
5872, 5956, 0.716667
5956, 6040, 0.650000
6040, 6124, 0.833333
6124, 6208, 0.800000
6208, 6292, 0.533333
6292, 6376, 0.600000
6376, 6460, 0.466667
6460, 6544, 0.683333
6544, 6628, 0.666667
6628, 6712, 0.766667
6712, 6796, 0.433333
6796, 6880, 0.300000
6880, 6964, 0.300000
6964, 7048, 0.233333
7048, 7132, 0.200000
7132, 7216, 0.116667
7216, 7300, 0.183333
7300, 7384, 0.083333
7384, 7468, 0.116667
7468, 7552, 0.166667
7552, 7636, 0.083333
7636, 7720, 0.116667
7720, 7804, 0.183333
7804, 7888, 0.150000
7888, 7972, 0.300000
7972, 8056, 0.183333
