trigger code,timestamp,CH00,CH01
00000002,7BF2,54CB,E4FF
00000002,9D28,54C5,8952
00000002,0CF4,54A6,8B92
00000002,2483,54B6,8893
00000002,B758,54C7,F192
00000002,1C91,54C1,C93F
00000002,6D68,549F,8840
00000002,3781,54B6,47F0
00000002,7A47,54BA,8703
00000002,DC06,546A,8C83
00000002,1588,54C0,9E1D
00000002,D68A,54E5,8A18
00000002,1FFE,54C8,8CA3
00000002,7E4B,54B5,89F3
00000002,A9D3,54A0,8A27
00000002,BBE4,54B5,8A11
00000002,89CE,549B,B0F5
00000002,7A08,54C1,8BB5
00000002,934D,54AB,8740
00000002,2FA9,549D,8B51
00000002,1335,54C4,87AD
00000002,000B,545C,9103
00000002,5869,54C8,87DE
00000002,1F68,54C3,8C93
00000002,B217,5497,89E9
00000002,AE32,54AA,8C42
00000002,AFB9,54A4,86E4
00000002,36BE,54A0,8982
00000002,7E56,54BA,85C7
00000002,531D,54B7,8611
00000002,9E45,54B5,BFCE
00000002,337C,54B3,89E3
00000002,60F2,54CD,8B7D
00000002,F214,549D,1AC2
00000002,FF6D,54C7,8ABF
00000002,D4D5,54C0,89A3
00000002,8CAA,54C1,8939
00000002,8684,549C,8951
00000002,DF20,54A0,8930
00000002,E926,54C7,874A
00000002,EF18,54BF,8741
00000002,7798,54C8,C114
00000002,D86E,54A5,ADA9
00000002,FFC4,54B7,D290
00000002,6512,5450,8B95
00000002,CD6B,54A6,873F
00000002,C8A5,54E8,8B9C
00000002,AF8B,54A6,86A5
00000002,214A,5499,86BA
00000002,DCDF,5483,CD4A
00000002,E93A,549E,87F3
00000002,5144,54CE,E36B
00000002,150D,54B9,8B1D
00000002,6448,54AE,8C9C
00000002,84CB,54AE,8667
00000002,A590,54B8,8965
00000002,7243,54A2,890B
00000002,6E14,54C4,C75C
00000002,4401,548D,8C22
00000002,9392,54D4,868D
00000002,F95A,54B8,8B8C
00000002,FDEF,54C9,8A9F
00000002,2345,54A0,887A
00000002,CC05,54A2,871E
00000002,C74D,54D4,8C48
00000002,736A,54A8,EF5B
00000002,0176,54B0,8772
00000002,EC34,54DD,898F
00000002,56B0,54A5,8811
00000002,7E62,543F,8CCD
00000002,7344,5494,87C8
00000002,415B,549F,85F3
00000002,45B3,54A3,8652
00000002,A13D,54C5,D015
00000002,EFAC,54D6,EB0A
00000002,CD40,54A8,89F2
00000002,46AE,54C0,880D
00000002,CD44,54C0,FE3C
00000002,19E3,54C1,B1DB
00000002,19E3,5491,8891
00000002,0095,54AD,87E5
00000002,C7F1,54C8,8675
00000002,486D,54A1,8AD3
00000002,FF5F,54E7,3EDF
00000002,9AC1,54AA,8D96
00000002,B566,549B,873D
00000002,840A,54DA,86D5
00000002,581C,547D,8740
00000002,6C31,54BD,87EF
00000002,D283,54BC,89B0
00000002,7789,54C4,CCC3
00000002,52B7,54D1,8BAA
00000002,2F10,552A,1702
00000002,B97C,54BE,9C65
00000002,6B7D,54BC,894A
00000002,5B17,54A4,B5FA
00000002,B6CD,54E3,8F59
00000002,FC6F,545B,8A44
00000002,9957,54B3,86CA
00000002,1919,54A8,89F6
00000002,1B5D,54B8,8849
00000002,5FBA,54B5,A74C
00000002,9761,5490,983F
00000002,54B0,54C8,9437
00000002,126D,54C3,8A90
00000002,5E78,54D6,8743
00000002,78D4,54A4,89E0
00000002,3C5F,54AC,B3E5
00000002,A585,54B5,8BBE
00000002,AC85,54CD,8B44
00000002,EC01,5497,8754
00000002,9244,54BC,89E5
00000002,17B4,54A4,FAB7
00000002,7694,54B0,F3EA
00000002,99DE,54DD,8A8F
00000002,F808,54B2,8A52
00000002,A380,54C2,876F
00000002,8FA0,54C5,AD30
00000002,94BF,54D6,8368
00000002,5F9C,548E,87EC
00000002,A790,54A3,864C
00000002,C385,5487,CFD2
00000002,BD56,54BC,88FB
00000002,3288,54A2,00C9
00000002,5324,54B8,E472
00000002,D4F0,548B,891C
00000002,89B9,54C3,8744
00000002,2E19,5464,8B37
00000002,1308,54C5,8B1D
00000002,522F,54AB,882D
00000002,6DD8,54B0,8928
00000002,81EC,548F,8CA4
00000002,0B98,54B8,A28D
00000002,4147,54B6,86DE
00000002,3EE2,54A2,9A6B
00000002,4EB0,54A8,8B84
00000002,EAAF,54B4,0274
00000002,8440,54A5,86E0
00000002,67A5,54C6,CE42
00000002,C49F,54AD,8BD7
00000002,D3DE,5495,8937
00000002,D95C,54AD,8B1F
00000002,373E,547E,8A31
00000002,54C9,54B5,8766
00000002,A891,54AE,85B7
00000002,14BA,54DA,ED8E
00000002,F1C4,54A3,871D
00000002,79AF,548A,89B2
00000002,F499,54EB,8867
00000002,1923,54B2,86BA
00000002,F6E9,54C2,8A0D
00000002,C205,545D,8A21
00000002,E36C,545D,E013
00000002,173E,548F,8982
00000002,EB20,5507,AE35
00000002,3905,547F,AD5C
00000002,ECE8,54CF,A303
00000002,2C80,5486,86EE
00000002,F8EC,54B2,8853
00000002,056A,54B2,88F7
00000002,77D9,54BB,8C4E
00000002,1B6F,54A9,CD40
00000002,0DD4,54C0,8B04
00000002,BDEE,5450,8C61
00000002,A2B9,5496,8B8D
00000002,6D7B,54EE,8A02
00000002,D82F,54A6,D2A4
00000002,E170,546A,88BD
00000002,8C0E,54C5,E34D
00000002,7C65,543E,8B1C
00000002,6814,54B0,85E2
00000002,EA79,54A7,868B
00000002,C8A2,54B4,951A
00000002,07F6,54CA,9822
00000002,B088,54C4,98E0
00000002,2EE0,54BA,890A
00000002,47EE,54C6,8884
00000002,6147,54D0,89D0
00000002,0360,54E3,8796
00000002,CB0B,54CC,F1AE
00000002,2BA3,5482,8770
00000002,2535,5492,8A08
00000002,FA22,54B4,86F4
00000002,6183,54AE,B591
00000002,7FFF,54AC,BD33
00000002,78DF,5492,88A9
00000002,099D,54C6,8B9C
00000002,677F,54A2,9C94
00000002,5FF0,54C0,8B9C
00000002,7522,5489,8745
00000002,AB64,5459,8CD3
00000002,CD7B,54A5,8BB4
00000002,B597,54AB,998F
00000002,0F90,54A8,F829
00000002,01BA,54CE,882C
00000002,FD50,548F,8D77
00000002,FBEF,54C1,8614
00000002,F487,54A2,DFB4
00000002,0BE6,54A8,9D44
00000002,001F,54A2,8B6A
00000002,502D,54B4,85A8
00000002,8A4F,54A2,E364
00000002,ECBF,549A,EA81
00000002,800D,5491,866C
00000002,EE4D,54A7,B819
00000002,AE76,54A3,89BD
00000002,2741,54B6,87A9
00000002,DBD9,5498,8C0B
00000002,874D,54CB,89AB
00000002,B756,54B5,A00F
00000002,5FAE,54A7,86E9
00000002,9789,54AA,864F
00000002,6219,54A4,8A89
00000002,E31F,54BD,8710
00000002,99F6,54C3,866E
00000002,76DD,54BF,86D7
00000002,E39D,5497,CED2
00000002,787A,54B6,8BFA
00000002,89E8,54C0,9D5F
00000002,5FF0,5484,85D6
00000002,AB6C,541F,8B67
00000002,9534,54E1,87E3
00000002,3E78,54AC,8A14
00000002,03BB,5499,8852
00000002,BBD3,54BC,86C6
00000002,C2B8,54A7,89FF
00000002,20D7,54E9,F0E0
00000002,1692,54CB,95B8
00000002,6D39,549E,88D1
00000002,C5E8,549F,EA2A
00000002,3383,549B,873A
00000002,E3E0,548F,8A35
00000002,9D40,5491,8A63
00000002,2511,54A4,8558
00000002,DA14,54B3,88FE
00000002,2D75,54A5,8983
00000002,2B51,54C7,8760
00000002,12C8,54C6,8722
00000002,0B6C,5498,A96F
00000002,EE21,54C8,8B30
00000002,28AB,54A5,8A37
00000002,FF19,5486,8B3C
00000002,438F,54BF,A192
00000002,C444,54A3,865A
00000002,5093,54B0,E2ED
00000002,F77D,548E,85D2
00000002,415C,54D1,8AEE
00000002,F762,54AE,8809
00000002,998A,5483,88EE
00000002,8128,54BB,8942
00000002,DBEB,54A0,8748
00000002,B14E,54BA,8C19
00000002,E227,5471,8810
00000002,376B,5453,91B6
00000002,F0CB,54B4,8B57
00000002,C122,54D1,8621
00000002,EE3B,54B6,85CB
00000002,9487,54CA,8C8E
00000002,AFC8,549C,861B
00000002,4FCB,54D5,869D
00000002,B399,54D4,8597
00000002,9C32,54AA,8C00
00000002,730E,5499,89AE
00000002,2E3F,54C6,864D
00000002,F928,54B7,A057
00000002,E4AE,5493,F311
00000002,134A,5494,87D1
00000002,EDC5,5481,CC5B
00000002,C922,54CD,8786
00000002,FA79,54AD,86EB
00000002,26EB,5495,8766
00000002,B71F,54B0,89DB
00000002,F988,5457,8B59
00000002,68C3,54D2,8AE3
00000002,73C2,54AB,86A6
00000002,2FE5,54A3,896E
00000002,CB0E,54B0,B020
00000002,822C,54BD,8964
00000002,D753,54B5,876C
00000002,3FDB,54C7,8685
00000002,F56F,54AD,885A
00000002,1642,5475,8AAD
00000002,E993,54A8,8715
00000002,7225,54BE,8775
00000002,C9D2,54A6,D9CE
00000002,E07E,5469,88D3
00000002,EB5D,549D,8828
00000002,92CA,548D,8631
00000002,97D7,549B,888C
00000002,4B8C,54A6,8726
00000002,0542,549D,8973
00000002,6C31,54AB,8997
00000002,6EA4,54C5,CA3F
00000002,3B8A,54E9,B294
00000002,486B,549C,88F8
00000002,035F,549B,DCE8
00000002,CF3E,5488,8682
00000002,502F,5494,8AF3
00000002,D1CD,54C6,8783
00000002,44DD,547D,85D7
00000002,0DCB,54B3,8941
00000002,E446,5495,8598
00000002,86CA,54D3,BBFA
00000002,48E7,54B8,873D
00000002,3371,54D8,8BD6
00000002,2AC9,54BC,DCF3
00000002,AAEA,54DD,8605
00000002,4128,54C4,8BF3
00000002,62E0,545E,8CED
00000002,F424,54B4,8631
00000002,EC40,54B1,96AD
00000002,A933,5447,8773
00000002,EEC8,54AE,881D
00000002,C725,549C,E756
00000002,6651,5488,8956
00000002,7A05,54C0,8662
00000002,AF8B,5490,F662
00000002,D7E6,54C7,86A2
00000002,8485,549D,8BF8
00000002,8E95,549A,9387
00000002,7680,5497,A18B
00000002,6ACB,549B,87A5
00000002,D205,549D,86EE
00000002,7C23,54B8,8A1B
00000002,7845,54B3,8BFB
00000002,5581,54A6,8753
00000002,1688,54B6,8AB9
00000002,46FD,54A4,89EE
00000002,4C93,54DB,E5E3
00000002,2CA2,54A4,87FC
00000002,5F1E,54BC,8BA8
00000002,5BD9,54A1,F3AF
00000002,3A0B,547F,8959
00000002,E914,54A0,89CA
00000002,5530,54B2,F402
00000002,5242,54BB,897A
00000002,0BB8,54BA,8770
00000002,9BE3,54B2,FF8C
00000002,99AB,54DB,BB1C
00000002,012A,54AA,88C4
00000002,F716,5475,BAE7
00000002,B126,5494,861F
00000002,C863,54B0,89D0
00000002,E077,54A8,87CC
00000002,2604,54C1,8B7A
00000002,518E,548B,88BA
00000002,5796,54CF,88A0
00000002,8B5F,54A0,8A2E
00000002,9BFB,54C7,861F
00000002,3FB0,5498,88DA
00000002,973D,5497,862D
00000002,C4AC,54BA,1B97
00000002,21E0,548C,8F83
00000002,CA75,54C9,88C3
00000002,8E28,54A8,8F31
00000002,BF7B,54AE,8AE3
00000002,51BE,549C,8872
00000002,A111,54A4,8952
00000002,CF80,54B3,890B
00000002,4840,543B,8982
00000002,EE95,541E,897E
00000002,1774,54DF,8BF6
00000002,2982,549F,86F5
00000002,357B,548F,871B
00000002,F6C8,54B0,2776
00000002,71E9,549A,87AA
00000002,3FD5,5495,8A58
00000002,ADC1,54AF,8683
00000002,C818,54AF,871F
00000002,C62B,5476,8B26
00000002,F9D6,5493,86CD
00000002,7FD3,549A,8958
00000002,23C2,54E7,88BB
00000002,21CE,549B,8ABD
00000002,007A,5487,8E0E
00000002,53D6,54B3,87BC
00000002,476E,5485,89A6
00000002,4620,54A8,87AB
00000002,1687,54A7,0F56
00000002,F140,54B6,95F1
00000002,A8B1,5499,8947
00000002,8706,54C6,AC8E
00000002,83D6,54C8,8C6D
00000002,C65C,54B4,8B82
00000002,8B11,5473,889B
00000002,F00B,549F,8634
00000002,8108,5476,8822
00000002,BCC4,543A,A434
00000002,401E,54A0,F67A
00000002,9299,54A4,868A
00000002,2F08,5497,89FA
00000002,169B,5470,86D3
00000002,747E,5482,8BC3
00000002,3292,549A,8645
00000002,2A00,5490,8A0A
00000002,CAC0,5491,865D
00000002,E9AE,549A,A27F
00000002,C8C9,54A0,8AF6
00000002,DF23,54A0,A518
00000002,DE4F,54AA,0E11
00000002,74CE,5496,88A9
00000002,5D5B,54B3,88E8
00000002,3DDC,54AF,8915
00000002,68CE,54B6,888A
00000002,B817,549E,867F
00000002,4370,54AD,88A5
00000002,847D,548C,CDBE
00000002,3811,54B3,E1B6
00000002,AD3B,54A4,A1EA
00000002,4A9F,549F,E8CB
00000002,7E92,547A,87BA
00000002,B124,5468,85E1
00000002,096A,54B0,8989
00000002,4A94,54CB,88EB
00000002,3A99,549F,9381
00000002,0C93,54C4,88BD
00000002,C0D2,54B7,881E
00000002,9AEA,5455,ABDE
00000002,C231,54A1,9E22
00000002,E962,548B,8C43
00000002,2F79,54A4,8A5D
00000002,C5FA,54B5,8B11
00000002,6759,54BA,0569
00000002,8185,54AE,B99F
00000002,7B41,5497,8A94
00000002,F099,54B3,87FA
00000002,F880,54B1,87AE
00000002,7033,54BC,86A2
00000002,81A8,546A,8803
00000002,0BC9,549E,88C9
00000002,29F7,54B5,8B8D
00000002,CD2E,54A4,8B81
00000002,ACAB,5496,8A42
00000002,3CB7,5488,89D1
00000002,6C47,54A3,8919
00000002,DBF6,54AE,85F2
00000002,1535,54A2,8A6C
00000002,B09B,548A,8634
00000002,ADD7,549C,8659
00000002,FC4E,54AD,8A1B
00000002,74AE,54C1,8AE5
00000002,A132,54A5,9807
00000002,CCF5,54A1,9369
00000002,EF29,54AE,8716
00000002,29EB,54B1,C484
00000002,F340,54D5,85EF
00000002,E4CA,5485,86C7
00000002,2C1C,54AB,8C7C
00000002,A329,549A,927F
00000002,B087,54A2,8939
00000002,7DC2,54B9,877D
00000002,060C,549D,03DB
00000002,5838,54A9,8901
00000002,8EBD,54B8,8529
00000002,AEB2,54AF,88B1
00000002,0B09,548C,94F2
00000002,F9A1,54B5,87F1
00000002,4EFD,54D7,8C3A
00000002,ED07,5494,C176
00000002,4DAC,5492,8B40
00000002,6A90,547E,8905
00000002,5243,54A7,8903
00000002,03BE,549C,0562
00000002,432D,5498,88FA
00000002,1B97,548E,A13D
00000002,3870,549E,8DEC
00000002,14FA,548C,D717
00000002,E7DC,549C,8A54
00000002,C9D3,5478,8B44
00000002,C91A,5485,E85A
00000002,9156,54D0,CCCC
00000002,7FE1,54B0,C808
00000002,05A0,5483,8BD1
00000002,5B24,54A9,89D5
00000002,7420,54C8,A918
00000002,7992,5495,97CC
00000002,CEED,549D,8CAB
00000002,AA2E,54A2,89D3
00000002,ED3E,54D9,86AC
00000002,3FF3,54A0,B927
00000002,94CC,54A5,88B7
00000002,5D49,54A7,8729
00000002,106C,54A8,9454
00000002,4B7A,54BE,86D1
00000002,23AA,54AA,88D4
00000002,0BE8,5488,8715
00000002,442D,54A2,9ACD
00000002,B5E9,5493,885C
00000002,615C,5491,8920
00000002,5B13,54A6,85D6
00000002,21E1,548E,890F
00000002,D829,5498,87C5
00000002,4992,54BC,8875
00000002,F89E,5482,D862
00000002,E76A,54B5,86C4
00000002,6B6D,54A2,86D3
00000002,E096,54A9,8807
00000002,4C03,54A1,8A81
00000002,A1CD,54A8,8B46
00000002,97DE,549D,89E6
00000002,280D,54AB,8A9C
00000002,1D3B,54B1,864E
00000002,1CC6,5492,8922
00000002,C40F,546B,8B62
00000002,3EAC,54AF,8752
00000002,EF30,54AA,0AFE
00000002,9C73,54BF,C21C
00000002,4AB1,54B5,8A6A
00000002,3E9E,549F,8B20
00000002,C745,54AD,C62E
00000002,310E,54C6,87C0
00000002,B264,54B3,866D
00000002,BF31,549C,85CB
00000002,B25D,546F,8A0E
00000002,CE52,54AD,87FE
00000002,E908,54A9,8D04
00000002,7354,54A5,8713
00000002,DF7A,54BD,8669
00000002,74D4,54AD,8A91
00000002,D047,54AA,87A6
00000002,04F3,54A9,8A02
00000002,C2F6,54D3,8776
00000002,1C60,54B1,8AE4
