header, trigcode, timestamp, energies,
80000000,2,BFD4C001,20BEE740,
80000000,2,8CA7C001,A3DE757,
80000000,2,8E19C001,711E73C,
80000000,2,8FC3C001,1014E749,
80000000,2,ECCC001,275EE75F,
80000000,2,49E3C001,1A17E74D,
80000000,2,6CF1C001,180AE74E,
80000000,2,85CAC001,1295E759,
80000000,2,B6D1C001,FD6CE760,
80000000,2,EF72C001,1AA7E74E,
80000000,2,C43EC001,305E75A,
80000000,2,E024C001,FD6DE750,
80000000,2,5D4FC001,1B58E760,
80000000,2,3691C001,AF3E757,
80000000,2,B24EC001,1D9E74D,
80000000,2,B270C001,E7FE758,
80000000,2,20CCC001,1296E757,
80000000,2,FA2CC001,215E754,
80000000,2,321CC001,398E754,
80000000,2,E49DC001,E38E750,
80000000,2,E544C001,8C8E754,
80000000,2,372FC001,16BCE74A,
80000000,2,9A1C001,9B89E746,
80000000,2,1F70C001,5DCE744,
80000000,2,CEB3C001,A4BE74C,
80000000,2,ECCDC001,8F5E74F,
80000000,2,E7BCC001,FDBBE756,
80000000,2,44C5C001,1FB1E747,
80000000,2,3656C001,D82E750,
80000000,2,FCAAC001,17AFE730,
80000000,2,5551C001,D67E738,
80000000,2,781EC001,9790E72B,
80000000,2,782BC001,130FE719,
80000000,2,FAA3C001,19DDE717,
80000000,2,4364C001,FE54E71D,
80000000,2,43A2C001,18BEE714,
80000000,2,671EC001,82FE71A,
80000000,2,45FC001,110AE71D,
80000000,2,C97CC001,DBEE70F,
80000000,2,90BEC001,4DBE715,
80000000,2,7B4DC001,16B9E71E,
80000000,2,7B62C001,1553E712,
80000000,2,BE0FC001,2555E70F,
80000000,2,9E7FC001,1FE74B,
80000000,2,9833C001,407E74E,
80000000,2,B8B7C001,70FE74B,
80000000,2,638CC001,1A16E75A,
80000000,2,1342C001,B7AE75D,
80000000,2,F3F4C001,771E74D,
80000000,2,9277C001,FADE760,
80000000,2,92ECC001,1091E748,
80000000,2,8BAEC001,FE4EE74B,
80000000,2,FE75C001,14F7E75A,
80000000,2,C157C001,1398E749,
80000000,2,35F7C001,3797E768,
80000000,2,2A95C001,684E75A,
80000000,2,17BDC001,811BE75A,
80000000,2,B97BC001,1A3AE75D,
80000000,2,AB3DC001,8B7E764,
80000000,2,5CACC001,FAFE750,
80000000,2,588DC001,5FE755,
80000000,2,FBC001,FBBEE74A,
80000000,2,A6E3C001,FC78E74A,
80000000,2,89ECC001,385E746,
80000000,2,D3ECC001,9EAE755,
80000000,2,83E6C001,FF7DE75D,
80000000,2,7413C001,110AE748,
80000000,2,7486C001,176EE75A,
80000000,2,921AC001,501E746,
80000000,2,738DC001,2637E756,
80000000,2,F1B7C001,5A9E742,
80000000,2,7FE9C001,E8BE746,
80000000,2,1AFDC001,770E748,
80000000,2,597CC001,CE0E744,
80000000,2,79DEC001,F48E747,
80000000,2,B187C001,5ABE73F,
80000000,2,A9CCC001,685E74F,
80000000,2,3663C001,49BCE73F,
80000000,2,3683C001,1B3E74C,
80000000,2,DC10C001,FDD3E750,
80000000,2,A21C001,FDC2E748,
80000000,2,FFAC001,19F1E74C,
80000000,2,6DE2C001,19B0E756,
80000000,2,C31DC001,1086E74D,
80000000,2,63B1C001,DDE75B,
80000000,2,AFEDC001,332E758,
80000000,2,3A51C001,CECE758,
80000000,2,4469C001,F938E75B,
80000000,2,447FC001,1C2E743,
80000000,2,6E3BC001,259E74C,
80000000,2,186EC001,1FAFE749,
80000000,2,3CDBC001,1B16E74F,
80000000,2,A611C001,14C1E74B,
80000000,2,3191C001,4CFE753,
80000000,2,D19AC001,102EE74E,
80000000,2,4B73C001,1D8E752,
80000000,2,9EBCC001,401BE74A,
80000000,2,F9CAC001,E9BE748,
80000000,2,ABF2C001,FDDCE745,
80000000,2,407AC001,5C0E74F,
80000000,2,4F91C001,2EC1E749,
80000000,2,DBE3C001,F33E745,
80000000,2,5DB4C001,18DE748,
80000000,2,9B55C001,12E0E73E,
80000000,2,37F6C001,1C8CE74A,
80000000,2,BC6AC001,378E748,
80000000,2,DBECC001,2BAE757,
80000000,2,8DFAC001,3DE75A,
80000000,2,33CCC001,55E75B,
80000000,2,386C001,1AA4E756,
80000000,2,396C001,FA32E748,
80000000,2,7A27C001,FC4E74E,
80000000,2,9665C001,19C8E744,
80000000,2,7476C001,FE5FE766,
80000000,2,FFD5C001,B88AE748,
80000000,2,A23BC001,20D4E743,
80000000,2,A269C001,F67E73C,
80000000,2,BA09C001,18DFE749,
80000000,2,2985C001,F5AE746,
80000000,2,5F01C001,FD79E73D,
80000000,2,CFDCC001,FD18E74A,
80000000,2,360FC001,FF2AE740,
80000000,2,4C7C001,FEEEE73B,
80000000,2,315BC001,772E745,
80000000,2,53C6C001,13CE740,
80000000,2,A20DC001,1BFE74A,
