header, trigcode, timestamp, energies,
80000000,2,467BC001,FB5CE747,
80000000,2,B2FBC001,FC8BE74A,
80000000,2,EDB7C001,1633E754,
80000000,2,9DAEC001,FE46E74D,
80000000,2,9DEAC001,10D6E740,
80000000,2,6D02C001,DB9E74A,
80000000,2,2F96C001,1273E749,
80000000,2,B291C001,EF7E747,
80000000,2,2F50C001,29A9E748,
80000000,2,F00AC001,83CE74D,
80000000,2,E12DC001,FFF1E74B,
80000000,2,736CC001,187EE74C,
80000000,2,DF66C001,FF89E74E,
80000000,2,66A3C001,1A25E740,
80000000,2,F3CC001,147E747,
80000000,2,A37FC001,16BE744,
80000000,2,2271C001,FB21E74C,
80000000,2,22B5C001,5D6E74A,
80000000,2,F2ECC001,1933E74C,
80000000,2,F313C001,454E742,
80000000,2,CE39C001,821E748,
80000000,2,DAF7C001,13A3E73E,
80000000,2,DB1BC001,4E0E74F,
80000000,2,B645C001,1B75E744,
80000000,2,419BC001,1A3FE746,
80000000,2,3966C001,F72E74B,
80000000,2,D02EC001,1113E74E,
80000000,2,6E83C001,FC16E756,
80000000,2,E33EC001,3EF2E751,
80000000,2,6064C001,132E74B,
80000000,2,7CD2C001,17E8E752,
80000000,2,99A9C001,4DE74C,
80000000,2,4B13C001,FEF9E745,
80000000,2,C50FC001,911E761,
80000000,2,DBFCC001,7F27E73F,
80000000,2,848CC001,F9AE744,
80000000,2,BF87C001,E88E748,
80000000,2,3BFCC001,71BE755,
80000000,2,9B83C001,3E8E752,
80000000,2,54CFC001,167AE74C,
80000000,2,480DC001,18D9E75F,
80000000,2,4835C001,FCD1E752,
80000000,2,6C1BC001,3E3EE758,
80000000,2,735FC001,F18E75E,
80000000,2,8D46C001,218E758,
80000000,2,B655C001,162E75C,
80000000,2,418EC001,CC0E74F,
80000000,2,2816C001,1B74E74E,
80000000,2,548AC001,C5E6E74A,
80000000,2,F26DC001,2F5E74F,
80000000,2,56F1C001,11EDE74E,
80000000,2,56FEC001,FF2CE747,
80000000,2,9904C001,1889E746,
80000000,2,E267C001,6DEE75A,
80000000,2,8BC2C001,1CCEE74C,
80000000,2,5D86C001,180E741,
80000000,2,85F2C001,17B7E74F,
80000000,2,709CC001,24F1E758,
80000000,2,BA3DC001,2EBBE74B,
80000000,2,BDACC001,8B0E750,
80000000,2,5D0DC001,937E753,
80000000,2,1670C001,1896E73C,
