trigger_code,timestamp,en_CH0,en_CH1,en_CH2,en_CH3,en_CH4,en_CH5,en_CH6,en_CH7,en_CH8,en_CH9,en_CH10,en_CH11,en_CH12,en_CH13,en_CH14,en_CH15,en_CH16,en_CH17,en_CH18,en_CH19,en_CH20,en_CH21,en_CH22,en_CH23,en_CH24,en_CH25,en_CH26,en_CH27,en_CH28,en_CH29,en_CH30,en_CH31
00800000,0000,3192,2DDA,302F,296A,2CD1,32C2,2BEC,339B,3093,2A75,2FF7,3575,2F68,31AB,3195,2A99,325F,322A,2A26,2B8B,2E32,2A67,6499,2F6F,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,2EBD,2B9F,2E15,27B3,2BBA,3219,2A32,3039,304E,29F6,2DEE,31D7,2D2D,2F26,2FB9,2926,323D,311C,2A9D,2A27,2CA6,2777,4DB9,2EFE,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,2E71,2C72,2E8F,2790,2B88,3207,2B1D,308A,30A6,2917,2CC1,3446,2D02,3021,3219,28E6,303F,2F9D,2848,27BC,2C9C,274E,6D5E,2CE5,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,3006,2B7E,2D78,2776,2BF1,3184,2AC4,30CC,2FD5,29D8,2E00,33E6,2D81,304E,3162,281E,31DD,2FDE,29E4,2906,2DB1,27CC,87BF,2F24,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,2EE0,2B7C,2F03,2757,2C18,32C0,2B8B,319F,310A,299C,2F63,3327,2CBA,2F24,31CC,2947,3245,2FFF,29FD,281F,2DF2,280B,5BC0,2F44,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,306C,2AD1,2F2C,2728,2B08,31A7,2BFC,328F,3135,2948,2DD0,3498,2E48,317C,329D,2A96,2FBD,3022,28CE,2827,2D6F,28E7,72C6,3051,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,320E,2D3A,2EE3,28CA,2BC0,32AA,2ABC,3144,31E2,29D4,2E51,33D4,2E59,30BF,327E,2AA5,3122,31AD,2854,2879,2D8C,2800,4F5C,2F8D,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,51E5,4BD9,4E7D,433F,4A27,543F,4919,5551,512D,45CF,4D30,56CC,4C62,5198,5653,485C,5455,5087,43D1,43F8,4AF5,4204,DA79,4F07,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,4EEC,4B73,4C27,4434,4A93,543C,46B9,54A9,520F,462A,4F3A,571A,4EAD,5155,5512,47CF,5188,5158,449C,45AB,4A04,437E,BB45,4DB3,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,534B,4A1E,4DC4,438A,4A74,52EE,499F,5423,524E,4488,4D46,565D,4FDE,52A9,53B3,4687,5345,5055,45F6,457A,4BC5,420E,E94C,6EE9,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,5363,4D55,4E96,449E,4A2C,5389,4893,5452,510D,488A,5014,5868,4FFD,53CD,5602,476D,52CA,52B8,450F,4572,4D1C,43EA,7AC0,4DE4,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,4F2C,47FA,4BCD,3E53,467E,5316,45FF,5070,4F92,443C,4D0C,5743,4C1F,50F4,5267,4645,50CD,5020,451A,45F3,4C17,41B8,C488,4EB3,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,501C,48EF,4B36,417F,484B,521B,46ED,5146,503A,4424,4E03,560F,4D09,4E7C,5328,45F1,547D,51CB,4614,46F2,4CA8,448F,BE41,4DF3,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,5305,4BC0,4E7F,40C0,4C1D,541C,482C,5312,534A,451D,4EB2,5895,4CA9,5367,5170,4672,51C0,509D,4430,4609,4CD9,4399,89AE,4DCE,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,5229,4ABD,4E29,4341,4B0E,569D,49F9,5363,516C,4746,4EBD,587A,4DB0,5520,54C0,4911,51AC,533A,47D3,4602,4C43,4375,B6F1,54C3,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,532E,4A30,5041,4453,4C06,5761,48DD,56C4,5307,4751,50C5,58E9,4D10,539A,5507,49B3,52CA,5251,4446,46AA,4CAD,41A7,975D,4F4C,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,5493,4A37,5004,4334,4A69,55C8,4887,5469,5380,4515,4E98,57FD,4F6C,5068,52C3,46E9,5262,5377,44C7,47FB,4B98,4458,8E3E,50F8,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,5048,4B74,4C5D,41A3,4821,52D3,4996,54E9,50FD,4803,4F72,57B7,4F1F,52DB,53A6,4829,51B8,4EE1,43E7,44A0,4B7A,41FF,7D99,4B9C,0000,0000,0000,0000,0000,0000,0000,0000
