lower (MeV), upper (MeV), rate
8.300000, 8.350000, 0.226513
8.350000, 8.400001, 0.225261
8.400001, 8.450001, 0.194781
8.450001, 8.500001, 0.179958
8.500001, 8.550001, 0.161378
8.550001, 8.600001, 0.150939
8.600001, 8.650002, 0.137369
8.650002, 8.700002, 0.121921
8.700002, 8.750002, 0.118998
8.750002, 8.800002, 0.093319
8.800002, 8.850002, 0.088935
8.850002, 8.900002, 0.081211
8.900002, 8.950003, 0.083299
8.950003, 9.000003, 0.061796
9.000003, 9.050003, 0.063466
9.050003, 9.100003, 0.054280
9.100003, 9.150003, 0.058038
9.150003, 9.200004, 0.053236
9.200004, 9.250004, 0.051566
9.250004, 9.300004, 0.046555
9.300004, 9.350004, 0.048434
9.350004, 9.400004, 0.048852
9.400004, 9.450005, 0.038831
9.450005, 9.500005, 0.044676
9.500005, 9.550005, 0.048643
9.550005, 9.600005, 0.036743
9.600005, 9.650005, 0.040084
9.650005, 9.700006, 0.041754
9.700006, 9.750006, 0.036952
9.750006, 9.800006, 0.040710
9.800006, 9.850006, 0.039457
9.850006, 9.900006, 0.043006
9.900006, 9.950006, 0.036326
9.950006, 10.000007, 0.039040
10.000007, 10.050007, 0.040292
10.050007, 10.100007, 0.041545
10.100007, 10.150007, 0.040710
10.150007, 10.200007, 0.040292
10.200007, 10.250008, 0.039457
10.250008, 10.300008, 0.035282
10.300008, 10.350008, 0.032985
10.350008, 10.400008, 0.033194
10.400008, 10.450008, 0.040710
