top, rate
4000, 47.700000
4160, 0.600000
4320, 5.800000
4480, 4.600000
4640, 6.400000
4800, 4.800000
4960, 6.100000
5120, 7.800000
5280, 8.000000
5440, 7.200000
5600, 9.900000
5760, 8.400000
5920, 10.700000
6080, 10.600000
6240, 10.100000
6400, 9.300000
6560, 10.200000
6720, 11.000000
6880, 11.400000
7040, 11.700000
7200, 12.600000
7360, 12.500000
7520, 11.300000
7680, 13.000000
7840, 15.600000
8000, 12.000000
8160, 11.600000
8320, 11.900000
8480, 13.800000
8640, 14.300000
8800, 15.900000
8960, 16.900000
9120, 15.000000
9280, 14.700000
9440, 15.900000
9600, 15.200000
9760, 15.000000
9920, 15.600000
10080, 15.500000
10240, 13.300000
10400, 15.900000
10560, 13.600000
10720, 15.300000
10880, 16.900000
11040, 17.400000
11200, 17.100000
11360, 14.900000
11520, 16.400000
11680, 17.200000
11840, 16.100000
12000, 17.400000
12160, 15.300000
12320, 18.100000
12480, 16.800000
12640, 16.200000
12800, 15.600000
12960, 16.400000
13120, 17.800000
13280, 17.600000
13440, 17.500000
13600, 19.500000
13760, 16.500000
13920, 19.100000
14080, 20.200000
14240, 18.400000
14400, 19.800000
14560, 16.100000
14720, 19.600000
14880, 18.200000
15040, 19.000000
15200, 17.200000
15360, 18.000000
15520, 17.500000
15680, 19.200000
15840, 20.300000
16000, 18.800000
16160, 21.600000
16320, 27.100000
16480, 62.800000
16640, 66.700000
16800, 64.700000
16960, 62.600000
17120, 66.300000
17280, 64.900000
17440, 67.000000
17600, 62.100000
17760, 65.000000
17920, 68.500000
18080, 62.800000
18240, 63.200000
18400, 67.800000
18560, 65.300000
18720, 65.400000
18880, 65.900000
19040, 62.000000
19200, 64.900000
19360, 66.200000
19520, 68.600000
19680, 67.900000
19840, 67.000000
