lower (MeV), upper (MeV), rate
8.300000, 8.350000, 0.039666
8.350000, 8.400001, 0.040710
8.400001, 8.450001, 0.041127
8.450001, 8.500001, 0.038622
8.500001, 8.550001, 0.046555
8.550001, 8.600001, 0.039457
8.600001, 8.650002, 0.038413
8.650002, 8.700002, 0.036952
8.700002, 8.750002, 0.045094
8.750002, 8.800002, 0.037370
8.800002, 8.850002, 0.038831
8.850002, 8.900002, 0.037787
8.900002, 8.950003, 0.041962
8.950003, 9.000003, 0.035908
9.000003, 9.050003, 0.037370
9.050003, 9.100003, 0.038831
9.100003, 9.150003, 0.039457
9.150003, 9.200004, 0.032777
9.200004, 9.250004, 0.038413
9.250004, 9.300004, 0.035491
9.300004, 9.350004, 0.037996
9.350004, 9.400004, 0.037370
9.400004, 9.450005, 0.034864
9.450005, 9.500005, 0.039040
9.500005, 9.550005, 0.036326
9.550005, 9.600005, 0.036326
9.600005, 9.650005, 0.040084
9.650005, 9.700006, 0.037161
9.700006, 9.750006, 0.037161
9.750006, 9.800006, 0.036326
9.800006, 9.850006, 0.037578
9.850006, 9.900006, 0.037370
9.900006, 9.950006, 0.035491
9.950006, 10.000007, 0.037370
10.000007, 10.050007, 0.036117
10.050007, 10.100007, 0.034864
10.100007, 10.150007, 0.038413
10.150007, 10.200007, 0.034656
10.200007, 10.250008, 0.032359
10.250008, 10.300008, 0.034029
10.300008, 10.350008, 0.036952
10.350008, 10.400008, 0.033612
10.400008, 10.450008, 0.039040
10.450008, 10.500009, 0.031106
10.500009, 10.550009, 0.041545
10.550009, 10.600009, 0.035073
10.600009, 10.650009, 0.039040
10.650009, 10.700009, 0.032777
10.700009, 10.750010, 0.034029
10.750010, 10.800010, 0.033820
10.800010, 10.850010, 0.032777
10.850010, 10.900010, 0.038413
10.900010, 10.950010, 0.036326
10.950010, 11.000010, 0.038205
