top, rate
4000, 19.000000
4160, 2.000000
4320, 4.400000
4480, 4.000000
4640, 6.600000
4800, 6.700000
4960, 7.800000
5120, 7.900000
5280, 10.500000
5440, 9.800000
5600, 8.700000
5760, 12.100000
5920, 11.900000
6080, 10.900000
6240, 12.000000
6400, 11.300000
6560, 12.400000
6720, 12.100000
6880, 10.200000
7040, 11.100000
7200, 12.300000
7360, 11.800000
7520, 12.400000
7680, 12.500000
7840, 13.500000
8000, 13.300000
8160, 12.400000
8320, 14.100000
8480, 15.600000
8640, 15.000000
8800, 14.300000
8960, 15.500000
9120, 15.500000
9280, 15.500000
9440, 17.600000
9600, 14.700000
9760, 16.600000
9920, 19.300000
10080, 17.800000
10240, 15.000000
10400, 15.000000
10560, 15.300000
10720, 17.000000
10880, 17.000000
11040, 19.000000
11200, 17.300000
11360, 17.500000
11520, 18.100000
11680, 18.500000
11840, 19.000000
12000, 17.800000
12160, 18.000000
12320, 17.500000
12480, 15.200000
12640, 18.200000
12800, 17.600000
12960, 15.600000
13120, 18.400000
13280, 17.600000
13440, 19.500000
13600, 18.600000
13760, 17.900000
13920, 17.500000
14080, 18.700000
14240, 18.500000
14400, 16.700000
14560, 18.600000
14720, 17.900000
14880, 17.900000
15040, 16.100000
15200, 19.200000
15360, 18.300000
15520, 20.400000
15680, 18.300000
15840, 19.500000
16000, 20.400000
16160, 17.100000
16320, 49.600000
16480, 62.300000
16640, 65.300000
16800, 68.800000
16960, 60.700000
17120, 63.600000
17280, 64.400000
17440, 64.900000
17600, 65.900000
17760, 66.500000
17920, 63.800000
18080, 60.100000
18240, 66.000000
18400, 66.000000
18560, 65.900000
18720, 63.500000
18880, 67.100000
19040, 66.700000
19200, 68.800000
19360, 64.800000
19520, 63.600000
19680, 69.900000
19840, 66.200000
