top, rate
4000, 20.400000
4160, 3.200000
4320, 5.800000
4480, 6.000000
4640, 5.500000
4800, 8.800000
4960, 8.000000
5120, 6.300000
5280, 7.900000
5440, 8.200000
5600, 9.400000
5760, 9.500000
5920, 10.600000
6080, 11.700000
6240, 10.300000
6400, 10.000000
6560, 11.000000
6720, 12.300000
6880, 12.200000
7040, 11.700000
7200, 11.800000
7360, 12.300000
7520, 13.000000
7680, 13.600000
7840, 12.000000
8000, 12.500000
8160, 12.900000
8320, 13.600000
8480, 12.600000
8640, 13.300000
8800, 17.600000
8960, 14.300000
9120, 15.700000
9280, 13.800000
9440, 15.500000
9600, 14.300000
9760, 16.100000
9920, 13.800000
10080, 13.700000
10240, 16.500000
10400, 17.000000
10560, 15.000000
10720, 19.000000
10880, 15.400000
11040, 15.300000
11200, 17.700000
11360, 15.400000
11520, 15.100000
11680, 19.400000
11840, 18.300000
12000, 16.100000
12160, 18.800000
12320, 18.700000
12480, 19.600000
12640, 18.500000
12800, 17.400000
12960, 15.500000
13120, 18.600000
13280, 18.100000
13440, 19.100000
13600, 19.300000
13760, 17.600000
13920, 17.000000
14080, 18.200000
14240, 17.700000
14400, 18.700000
14560, 19.100000
14720, 19.200000
14880, 17.300000
15040, 20.100000
15200, 19.100000
15360, 21.500000
15520, 17.700000
15680, 20.500000
15840, 18.800000
16000, 22.600000
16160, 17.400000
16320, 55.400000
16480, 65.900000
16640, 62.600000
16800, 66.500000
16960, 65.300000
17120, 61.400000
17280, 62.200000
17440, 63.900000
17600, 62.500000
17760, 67.400000
17920, 63.600000
18080, 68.100000
18240, 63.000000
18400, 68.900000
18560, 67.400000
18720, 61.300000
18880, 64.100000
19040, 66.900000
19200, 67.300000
19360, 64.000000
19520, 59.400000
19680, 67.500000
19840, 61.200000
