trigger_code,timestamp,en_CH0,en_CH1,en_CH2,en_CH3,en_CH4,en_CH5,en_CH6,en_CH7,en_CH8,en_CH9,en_CH10,en_CH11,en_CH12,en_CH13,en_CH14,en_CH15,en_CH16,en_CH17,en_CH18,en_CH19,en_CH20,en_CH21,en_CH22,en_CH23,en_CH24,en_CH25,en_CH26,en_CH27,en_CH28,en_CH29,en_CH30,en_CH31
00800000,EDF8,FD45,DDA4,E299,C180,DEBE,F6C6,D5B1,F61B,ED2F,CE9C,E538,03B6,F2B8,F525,F7A4,CEC5,F014,EB7F,D4FD,D3D3,DC06,CA95,AE37,EAA9,0000,0000,0000,0000,0000,0000,0000,0000
00800000,FD49,0772,E648,EAF5,CCEF,E6F4,FE96,E0FE,FED0,FC19,D7BB,F40D,11E7,FFBA,FD80,FC25,DDE6,F41F,F77C,DCF4,D6A5,E7A4,D177,8A4E,EFDD,0000,0000,0000,0000,0000,0000,0000,0000
00000000,5AD6,FF0B,DDDE,E0C9,C552,E239,F9CD,D2A6,FADD,F6F9,D094,EBC2,0048,F6B0,F71E,FB3E,D2A1,F086,E8F8,DBFB,D3F5,C970,CA90,ED39,3DD3,0000,0000,0000,0000,0000,0000,0000,0000
00400000,8A22,FBA7,E654,E83B,C3C5,E720,FABE,D7C5,F73F,F986,DAA8,F019,0A2F,FE4F,F631,FD2D,D83D,EBEE,ECC2,D8D4,D19D,DF73,CB64,F0A9,71AC,0000,0000,0000,0000,0000,0000,0000,0000
00400000,5830,008C,E6BF,F002,CBD4,E3BE,FC96,D9A5,FB05,F9E1,D294,F70F,104F,F991,FDED,04DE,D61B,F920,EFC7,D8FE,D8C3,E5EA,C5A8,F649,EED2,0000,0000,0000,0000,0000,0000,0000,0000
00400000,EC0B,0216,DCCC,E939,C877,E815,FBAC,D80E,FACB,F4AB,D39E,F210,0A55,FAC8,F7CB,FE72,CF00,F402,EF2A,D689,D0B6,E1FE,CD9F,EF1A,ADE5,0000,0000,0000,0000,0000,0000,0000,0000
00400000,AA3F,FCDF,E13B,E7F0,C6F4,E330,FB21,DD85,F4FB,F752,D288,EB54,0F75,FA97,FB0A,F781,D0A7,F68B,F03B,DB94,CCED,DF18,CBD8,F51D,319C,0000,0000,0000,0000,0000,0000,0000,0000
00400000,6705,FD29,DAD1,E8CD,C47A,E288,F794,D946,FD95,F941,D125,E737,05C5,F7F3,F919,F82F,CAEA,FE92,F02D,DCD9,CAC9,DA45,C5A6,F19E,5DAA,0000,0000,0000,0000,0000,0000,0000,0000
00400000,14A2,00AC,E50C,F0E6,C892,E542,03CC,DD53,F8C9,F674,D583,ED89,0BFA,F2EA,FC14,FFC9,CF56,F31E,F46C,D71D,D3BC,D9B1,C076,EAE6,BDDB,0000,0000,0000,0000,0000,0000,0000,0000
00400000,1856,0499,E2D4,E9B3,CBF1,EA16,FB56,DBB7,FBED,F934,D960,F3DE,0C81,FDCC,FDFD,033A,D0E9,F065,F491,D773,D032,DC66,CC50,F5AB,5AFB,0000,0000,0000,0000,0000,0000,0000,0000
00400000,6DF5,FCFB,E098,EF55,C6DF,E1F4,FE8B,D54F,01B1,F444,D123,EDD1,05C9,FC56,F454,FC02,D1D6,F46C,F282,DB27,CE94,F116,CE7E,F252,385E,0000,0000,0000,0000,0000,0000,0000,0000
00400000,8505,FD81,DDAE,E75B,C7C0,E3A4,FD30,DA33,00F8,F801,D300,EF49,0828,EDE0,F46F,F739,CF0D,F455,F3AB,DE85,D05A,D95F,C987,EB3F,9136,0000,0000,0000,0000,0000,0000,0000,0000
00400000,C00A,FF01,E0A2,E66E,C4ED,E280,F97F,D9C6,F840,F918,D301,EA4D,05D3,EDBA,F652,F639,D0F8,F0A1,F6CF,D884,D4F7,F2CB,CB57,F5C2,A1A3,0000,0000,0000,0000,0000,0000,0000,0000
00400000,453C,FA84,E29B,EFD3,C1F9,E2CC,FF3D,D6BC,FD80,FCD7,D28C,F0F6,089E,ED4D,F836,0158,D79E,F735,F683,D590,CC68,DF1E,CDBA,F487,8EFC,0000,0000,0000,0000,0000,0000,0000,0000
00C00000,D231,FC55,DB3D,E94C,CBD6,E4C7,F709,D45A,F071,F3A7,CFBB,ED4C,03A7,EF1B,F6C0,F6F3,D6B5,FB84,FCCB,F233,D83A,F584,D544,E4E7,F179,0000,0000,0000,0000,0000,0000,0000,0000
00800000,FCA3,0214,DC97,EAF5,CA5B,E534,FEB2,DBA8,F778,F9ED,D5FE,ECDA,0AA2,F47B,F4E5,F486,D324,F612,F2B6,D78E,D61E,E349,D1A1,38CA,F013,0000,0000,0000,0000,0000,0000,0000,0000
00800000,ED8D,F8B4,E045,ED2E,C6CA,E405,FA29,D9F9,FA5C,F6CE,D4D3,EF55,07B2,F234,FC2B,FE15,D2C1,F852,F1CA,D654,CFB2,CCCC,CF55,915D,E7F4,0000,0000,0000,0000,0000,0000,0000,0000
00800000,098E,FB5B,DC05,E479,C404,DE1A,F635,D5E7,F72B,F3ED,CD19,E96D,FF6C,F07D,F280,F91A,D1B4,ED82,EF6F,D6F5,D2BC,DADA,C8F2,8AE5,FA0D,0000,0000,0000,0000,0000,0000,0000,0000
00400000,4BB9,FB4A,DF61,E9C9,CAED,E5C7,FC9C,D4A1,F962,F797,D22B,EA99,0A02,F0F5,F8F6,FAAA,CEE8,F4E0,EF3D,D3EC,D6EE,E14A,CACE,F42E,6988,0000,0000,0000,0000,0000,0000,0000,0000
00400000,F16B,020D,E084,EDFA,C8D9,EB4C,FE72,DA53,0078,FF5D,DE6C,F48C,0969,F88F,069D,FE29,D42C,F28F,F094,D87F,D435,DD38,C732,E536,711D,0000,0000,0000,0000,0000,0000,0000,0000
00400000,EC4E,FCFB,D992,E69F,C67D,E3C9,01C8,DA9B,FB75,FA8F,D99F,EF74,0933,F5B0,FE05,FCD2,D4E4,F9AB,F890,DC9F,D47D,E4E9,CDAA,FA0F,8DD6,0000,0000,0000,0000,0000,0000,0000,0000
00C00000,0762,FBD3,E189,E74E,C802,E618,FBA3,D1C8,FC30,F30C,CC17,EEDA,01F2,FC04,FA1C,FD71,D215,F4F3,EECC,D608,D160,CD23,C5FE,9D7B,ECB9,0000,0000,0000,0000,0000,0000,0000,0000
00800000,8D08,F987,DD0F,E716,C1C4,E37A,F985,D54B,FBA8,F8E0,D472,EB49,01A6,F821,F7EC,FC50,CBDB,F299,EA99,CFEA,D186,D9A6,C5FE,AA37,E5AC,0000,0000,0000,0000,0000,0000,0000,0000
00000000,8136,F8D2,DA8D,E5FC,C6F3,E083,F7F7,CFFC,F4A0,FD1D,CC06,EB8E,0696,F582,F698,F978,D802,F6F5,F633,C99F,D615,F19B,D31A,F32B,DE7C,0000,0000,0000,0000,0000,0000,0000,0000
00400000,6DF8,F731,DA07,E533,C07B,E536,F8BD,D49C,F8E9,F13D,D43A,EBA2,042D,F53E,F093,FA1D,D14D,F244,F022,D17A,D273,DE58,C896,F139,59D1,0000,0000,0000,0000,0000,0000,0000,0000
00C00000,7367,FED5,DF4B,F5A6,C8A7,EC57,FFC5,D991,052F,FD61,D5F7,ED8F,0CE4,FA6D,FA1E,0162,DB1D,F50D,F34D,DE93,D2A5,F25C,CB3F,5FC5,F00A,0000,0000,0000,0000,0000,0000,0000,0000
00400000,A084,015D,DAE6,EC4E,C89A,E8BC,FAA1,DD0E,FC2C,FC5B,D5CE,ED78,0A02,F9E6,F998,FF08,D62B,F6D5,EEC0,D64B,CDD9,DAF8,C736,F2C5,3116,0000,0000,0000,0000,0000,0000,0000,0000
00400000,1BDD,F4C5,DCAE,EB58,C73E,E6E2,F898,D6E9,FAE4,FA4E,D7FA,F20B,05BF,F75F,F60D,0025,D956,F2FB,EC7B,D2A8,D2ED,DA8A,CB59,F0F6,8B61,0000,0000,0000,0000,0000,0000,0000,0000
00C00000,5FF1,FC63,DB11,EDC2,CB94,E4BC,00E2,D857,FE54,FB5C,DA46,F18C,09FF,000A,FD6C,05DE,D435,FF4F,EE57,D21A,D10E,DB60,C3A1,A895,E050,0000,0000,0000,0000,0000,0000,0000,0000
00400000,BF04,FDF1,D8FE,E615,C888,E719,F588,D620,FC0F,F50F,D699,EB21,FFFA,F3DD,F57F,FB7D,D420,EC33,E71C,D140,CD40,D890,C72B,EA95,37A8,0000,0000,0000,0000,0000,0000,0000,0000
00400000,7EF8,0276,DF3C,E9F9,C62F,E109,01DC,D807,FD81,F781,D65E,F0E4,0DE9,F9F5,F598,FFEB,D448,F0BF,EFA4,D6D0,D1D5,DB61,CE2A,EFB3,9E3E,0000,0000,0000,0000,0000,0000,0000,0000
00C00000,73CA,0214,E187,EADC,C791,E776,FD2E,DE27,FCC3,F66B,D09D,F39B,05E2,FC93,F2ED,FFF6,DA27,F777,ED0E,DB15,D30F,DEAA,CAF2,8D4B,EF17,0000,0000,0000,0000,0000,0000,0000,0000
00400000,BD67,029C,E1F1,EBB3,CC98,E3EC,FFA2,DB0A,FC6B,F48A,D308,EA7F,0DCC,FB70,FCEB,05FB,DC7E,F597,F052,D6C9,D60C,E2CD,C9D9,F489,ABA8,0000,0000,0000,0000,0000,0000,0000,0000
00400000,95E7,0482,E141,ECB0,C8E9,E93A,FB70,DE9D,FC56,0318,D639,F193,0895,FEF7,FC3B,058C,D7BF,FE87,F22C,D4FB,D748,E0DC,C9DD,EBD2,8790,0000,0000,0000,0000,0000,0000,0000,0000
00400000,2FDF,FA05,E0AD,EAD1,C0F0,E0CB,FDD0,D7DC,F756,F3B9,CED6,EE4A,FF8E,FA88,F95C,FFBA,D064,F3A6,EF35,D6D0,D8D5,DC9C,D38D,F260,5BCF,0000,0000,0000,0000,0000,0000,0000,0000
00800000,293E,FB45,E073,EF40,C430,E3A2,04CE,DD0E,F929,FADE,D517,F07A,0C06,FF54,F831,05EC,D46B,F95C,F72A,DCD6,DA62,E567,D1B7,704C,E7F2,0000,0000,0000,0000,0000,0000,0000,0000
00800000,5019,0101,E21C,F095,C453,EBD0,FEDF,D9F4,FA5C,F94E,D94D,EB8C,04C3,FD06,F8EE,FC88,D9B3,F82E,F025,DC66,D1A0,E193,CB7C,BE8F,EBA8,0000,0000,0000,0000,0000,0000,0000,0000
00800000,2ABB,FF00,DFE7,EFCC,C1ED,EEFC,FB53,D85D,FD85,F5F7,D60F,F2D4,0F62,FD19,FD24,01F4,DB20,FA0E,F465,D956,D133,CE15,CEFF,B61B,EFB9,0000,0000,0000,0000,0000,0000,0000,0000
00400000,4298,FD66,D913,EF54,C16A,DEF7,FCC9,D94A,F906,F978,D39E,ECBE,05AC,FEEB,FB89,031A,D868,F974,F79E,DC70,DB5D,E408,D4D8,FEEF,6EE0,0000,0000,0000,0000,0000,0000,0000,0000
00800000,F42C,0383,E608,F2DA,C7F7,E49F,F815,DA53,FDD9,F8C7,D07E,ECE3,08C9,FED8,F98D,FF00,D532,FBED,F3E2,D9B6,D1EA,E50E,CE47,8538,F37E,0000,0000,0000,0000,0000,0000,0000,0000
00800000,FCFB,05FC,E43C,E63D,C6EF,EB49,FF74,E2E8,01A4,F873,D99A,EFCC,090A,F6B7,FFE7,0202,DACC,F431,F66F,DDAD,D4A0,E471,CBF0,AC32,EE7C,0000,0000,0000,0000,0000,0000,0000,0000
00800000,13B2,F98B,E1DB,E5F6,C041,E680,F9A0,D602,FD43,FD23,D2F2,E763,04E6,F3DD,F769,F950,D8E5,F593,F469,D921,D068,E0EE,CBDF,9FC6,EBBF,0000,0000,0000,0000,0000,0000,0000,0000
00400000,6950,00A0,DEA8,E701,C34E,E55D,F90C,DD4D,FA01,F4FA,D527,F3B0,0C04,FE0F,F9B8,FC8D,D21F,F4DC,EB65,D459,D11C,DF83,C555,EEE4,4772,0000,0000,0000,0000,0000,0000,0000,0000
00800000,C518,03AC,E852,EE50,CB36,EE3E,FC04,D559,FD51,FC4A,D646,F39F,0976,0039,FABA,04C2,DB78,F3A8,EB16,D41D,CD91,DBC9,C713,C01A,E773,0000,0000,0000,0000,0000,0000,0000,0000
00800000,6D38,029A,E174,E6AA,C03A,E537,FB60,D9DC,FCB8,FA81,D97A,F388,0220,013D,01EF,FD15,D7CA,F1C4,F4A7,D5C0,D1AA,DF6A,CF15,9C27,EB38,0000,0000,0000,0000,0000,0000,0000,0000
00400000,1F62,02EB,E3D6,E611,C165,E537,F723,D9AC,FCE7,F958,D70B,F1AF,0585,FFB3,F983,FE14,D518,F90A,F47A,D665,D2CC,DBF4,CCB7,F98B,8AAA,0000,0000,0000,0000,0000,0000,0000,0000
00400000,6A48,0275,E760,EF3D,CB87,E72F,F66D,D62A,FDFC,FAE5,DE8E,F046,0CC5,F8CE,F97F,FFF8,DCEA,F89F,F34E,D8EE,D33E,F2B7,CE80,F664,B4A7,0000,0000,0000,0000,0000,0000,0000,0000
00400000,6D74,FDD3,DEE6,E7A5,C9C3,E470,FB9D,D672,FD16,FC0B,CCB1,E9F3,0671,F296,FC7C,FE1A,DB48,F01B,F1CB,DAB6,CFB5,DFE0,CF28,F3FD,DED3,0000,0000,0000,0000,0000,0000,0000,0000
00C00000,A7FC,06DD,E636,E937,CA40,E8E2,FE3A,D9E6,FD7A,05BF,D93C,EFBD,08CF,FB4E,FA9D,061F,DEC9,F51F,FA11,DD6B,D91B,DFEF,CDB2,A5A4,F0DE,0000,0000,0000,0000,0000,0000,0000,0000
00400000,64B9,0608,E45E,EB5F,C9EF,E517,0045,DED3,FE22,F7C4,D164,F085,0764,FBFF,FD9A,0256,DB7E,F141,F30C,D178,D156,E23D,C9A7,F217,843F,0000,0000,0000,0000,0000,0000,0000,0000
00C00000,7B0F,0452,DF2D,E63F,C82B,E51B,FDB5,DA61,FD7E,FDA7,D2E3,EC9A,0CD9,0147,F6CB,024B,D801,F479,F731,D905,D353,E3BC,D438,C862,E728,0000,0000,0000,0000,0000,0000,0000,0000
00400000,FDBE,0335,E0EC,E8F3,CA19,E1EC,FA1F,DABB,F721,F7C5,D20D,EEAB,0872,F796,F895,0805,D3B3,F059,F304,D5B7,D687,CD8A,C9DF,F461,A689,0000,0000,0000,0000,0000,0000,0000,0000
00400000,C23C,0289,E280,EFB2,CC22,E411,FD36,DB24,0391,001B,D989,F68A,0A65,FF4E,FB63,024D,D8F9,F3DF,F019,D72C,D1FB,E31D,CA25,F1BD,BB41,0000,0000,0000,0000,0000,0000,0000,0000
00400000,B998,FD77,DF4D,E8E0,C136,DFB9,FA71,D076,FB75,F8F1,D328,EAEE,073C,F3CD,00DE,FBB0,CEBA,F0E6,F125,D45F,D226,CC27,CB6C,F023,B863,0000,0000,0000,0000,0000,0000,0000,0000
00400000,BF2E,FBB8,DD31,E7A4,C4C8,E0A7,FB30,D971,FB98,F60F,D0C1,EE20,0664,F13B,F572,FF7A,D4C7,F21D,F105,DD90,D164,E53A,CAC8,F8B8,B637,0000,0000,0000,0000,0000,0000,0000,0000
00400000,90CE,FE45,E3D5,ED1F,C856,E77E,FDF3,DB8E,FB08,FD6F,D7C3,ED81,03AD,F857,F63B,0557,D859,F8BA,F72B,DB8B,D269,DDFD,CB5C,F28E,B11C,0000,0000,0000,0000,0000,0000,0000,0000
00C00000,FA40,FDC0,D97C,E7B7,C87C,E134,FC24,D592,FE20,FD8D,CFDF,ECA1,02A3,F8A2,F815,00EE,D254,F82F,F04F,D80A,CA90,DA1B,D077,6E13,EB66,0000,0000,0000,0000,0000,0000,0000,0000
00400000,C527,FE52,E1CA,E8B7,C84A,E523,FF44,D75C,0148,FC40,D541,F004,06C1,FABA,FD6D,FC82,D8BD,F47A,F37C,E235,D65B,E476,CFEE,F533,BC9B,0000,0000,0000,0000,0000,0000,0000,0000
00800000,594E,003F,E283,E8F0,C6B8,EA0B,0087,D75D,FAA4,F920,D2A2,F4E9,079D,F634,F7B6,FEEA,D77D,F4BC,F4F8,D6B4,D3E9,DBFE,CD20,2349,EC17,0000,0000,0000,0000,0000,0000,0000,0000
00400000,A418,FCAF,DDE2,E870,C6A2,E2A9,FD23,D4F9,F9B5,F997,CE10,E773,FF7D,F836,F6D8,FB34,D802,F487,EF93,D427,D266,DFBF,C231,F49A,D643,0000,0000,0000,0000,0000,0000,0000,0000
00C00000,EB91,F8CF,D91A,E6FE,C3D2,E14C,F4C4,D40C,FA79,F6D0,D131,ECAE,06C5,F544,F406,0043,D514,F6F3,F342,D8E8,CF8B,DE00,C9F4,7CFB,EC20,0000,0000,0000,0000,0000,0000,0000,0000
00C00000,AAAE,0119,E03D,EAB8,C7F2,E66B,FD72,D7D5,FB9A,FBBE,D7E3,EBA7,0616,FA44,FFFC,01FB,DCDB,F3C6,F0D9,D5DB,D23B,F190,CF66,62C3,E9B3,0000,0000,0000,0000,0000,0000,0000,0000
00400000,A1A2,F868,DE72,E234,BFE6,E229,FB5D,D9D2,F693,F814,D069,E7BB,FDA5,F1B4,F35D,FAC6,D83B,F50F,EAEA,D7EE,CAB0,F288,CF32,F1A4,9ACD,0000,0000,0000,0000,0000,0000,0000,0000
00400000,B43E,F86B,D7EC,DCFA,C27C,E4F1,FA3A,D069,F619,F60A,CA51,EA2C,FCB9,F5F9,F07D,F80C,D095,EE18,EF6C,D855,D4C8,DF92,CBF8,F51E,4CED,0000,0000,0000,0000,0000,0000,0000,0000
00800000,1AFE,FC23,E570,EFC4,CE08,E8A2,072B,E227,FEBD,FAD6,DBCD,EFAA,0CF5,FDD7,F86D,0030,DDFD,F92D,F5B5,DF74,D814,E0C6,D1DA,CB82,EC3F,0000,0000,0000,0000,0000,0000,0000,0000
