trigger_code,timestamp,en_CH0,en_CH1,en_CH2,en_CH3,en_CH4,en_CH5,en_CH6,en_CH7,en_CH8,en_CH9,en_CH10,en_CH11,en_CH12,en_CH13,en_CH14,en_CH15,en_CH16,en_CH17,en_CH18,en_CH19,en_CH20,en_CH21,en_CH22,en_CH23,en_CH24,en_CH25,en_CH26,en_CH27,en_CH28,en_CH29,en_CH30,en_CH31
00800000,10B2,31D6,2CCD,2F27,2663,2D11,32A8,2BA3,32B1,3111,28AF,3021,3501,2E8C,30FD,3221,2983,31F4,3283,2A54,2A05,2E34,2948,47F5,2F65,0000,0000,0000,0000,0000,0000,0000,0000
00800000,1122,31F0,2C29,2FBF,28CF,2BDA,32A5,2AFB,3222,30A7,29E5,2E9C,3533,2EEA,313C,313C,2A36,3192,30D8,2A63,2A1A,2D16,2888,4307,3017,0000,0000,0000,0000,0000,0000,0000,0000
00800000,5B5A,3122,2C69,2D9E,2790,2C50,31C8,2ADC,3241,2FD3,2951,2E60,33FE,2C80,3010,3095,2A5C,31F2,315F,29F2,298E,2C9B,279C,809E,2E1B,0000,0000,0000,0000,0000,0000,0000,0000
00800000,1D53,30B5,2D2D,3024,26EA,2D3A,3268,2C29,337C,3096,2AB9,307C,34CD,2E13,3149,330D,2B0D,31AA,30FF,2A4C,2968,2D5F,276D,5D67,2FEB,0000,0000,0000,0000,0000,0000,0000,0000
00800000,A267,3058,2AF8,2DEA,2672,2C04,3238,2AE1,3201,2FF9,283A,2F15,34B2,2D59,3080,2FF7,2912,30E2,3137,2997,296D,2CCE,2741,4029,2E54,0000,0000,0000,0000,0000,0000,0000,0000
00800000,AEC6,2F49,2A4D,2E2A,25CB,2BB1,3115,2AC9,323B,2F7D,2958,2E87,32E5,2DC6,3061,30CA,28CD,31E3,3042,2A6A,2947,2DA0,2991,4683,2ECE,0000,0000,0000,0000,0000,0000,0000,0000
00800000,C135,32AB,2D24,2FDF,2743,2BDE,32FF,2B47,32F7,309C,29EF,302C,352B,2E56,30B8,32C1,2B6D,3245,316E,2B0E,2956,2EC8,29B7,5DB9,2FC7,0000,0000,0000,0000,0000,0000,0000,0000
00800000,7B79,31B0,2C53,2F8A,28E1,2B4C,3225,2B2C,330A,30DF,28BE,300B,347C,2E4C,3292,31F7,2911,322F,31B9,29FA,2BB0,2ED2,2A8E,7EE7,31A3,0000,0000,0000,0000,0000,0000,0000,0000
00800000,8CE1,3112,2D03,2FFE,2720,2C90,32BA,2B8B,31F8,2FF0,2ACA,2F92,34FD,2E40,313C,327A,29DB,30A4,2F89,284C,292E,2B72,2716,4918,2D52,0000,0000,0000,0000,0000,0000,0000,0000
00800000,C20E,319D,2BFC,3021,27CA,2C59,3275,2B94,3333,3090,2B2F,3074,3511,2F0B,3005,322E,2AC4,326E,31BC,2A73,2B3C,2D95,2968,5A75,30D6,0000,0000,0000,0000,0000,0000,0000,0000
00800000,9C35,2FFA,2BB2,2DD2,2744,29FE,303E,2A60,30DE,2FB6,293C,2DFA,3342,2E1A,2FC7,30A8,2997,31B1,3076,29CC,284F,2C90,27A4,61C0,2F68,0000,0000,0000,0000,0000,0000,0000,0000
00800000,8BB2,30B1,2C4C,2DEA,2751,2C61,31DA,2A9A,3122,2EEC,2972,2E40,3442,2CAA,3094,317C,28B4,31D7,3064,2A03,2885,2E1D,2887,4A85,2EA2,0000,0000,0000,0000,0000,0000,0000,0000
00800000,777D,30C1,2A60,2D41,2673,2A09,316A,2B87,319E,2FCD,290E,2EFE,33A4,2D7A,2FAE,30EB,2987,322A,3193,2AF4,2990,2DD0,294A,455D,308D,0000,0000,0000,0000,0000,0000,0000,0000
00800000,E6C9,30DC,2B1C,2E8E,2733,2BAB,30D1,2A14,311B,2F6C,2885,2D6B,3436,2D9A,31A3,3081,2AA4,32AF,30C2,2957,29BA,2B89,28A0,424F,2ED5,0000,0000,0000,0000,0000,0000,0000,0000
00800000,32A2,30FA,2CC3,2F65,26B5,2BA8,31D6,28AF,3121,2F02,2995,2E6A,3310,2EF4,30AC,3234,29B9,31C0,2FF5,2A96,2970,2C66,273A,4036,2F40,0000,0000,0000,0000,0000,0000,0000,0000
