lower (MeV), upper (MeV), rate
0.000000, 0.100000, 1080.599976
0.100000, 0.200000, 322.000000
0.200000, 0.300000, 181.600006
0.300000, 0.400000, 117.300003
0.400000, 0.500000, 106.000000
0.500000, 0.600000, 75.300003
0.600000, 0.700000, 54.900002
0.700000, 0.800000, 52.200001
0.800000, 0.900000, 53.900002
0.900000, 1.000000, 39.099998
1.000000, 1.100000, 32.700001
1.100000, 1.200000, 28.299999
1.200000, 1.300000, 21.700001
1.300000, 1.400000, 43.200001
1.400000, 1.500000, 44.500000
1.500000, 1.600000, 13.200000
1.600000, 1.700000, 7.400000
1.700000, 1.800000, 7.900000
1.800000, 1.900000, 3.900000
1.900000, 2.000000, 3.100000
2.000000, 2.100000, 2.700000
2.100000, 2.200000, 4.200000
2.200000, 2.300000, 4.400000
2.300000, 2.400000, 2.200000
2.400000, 2.500000, 2.200000
2.500000, 2.600000, 4.400000
2.600000, 2.700000, 3.000000
2.700000, 2.799999, 2.300000
2.799999, 2.899999, 0.400000
2.899999, 2.999999, 0.000000
2.999999, 3.099999, 0.000000
3.099999, 3.199999, 0.100000
3.199999, 3.299999, 0.000000
3.299999, 3.399999, 0.000000
3.399999, 3.499999, 0.000000
3.499999, 3.599999, 0.100000
3.599999, 3.699999, 0.000000
3.699999, 3.799999, 0.100000
3.799999, 3.899998, 0.100000
3.899998, 3.999998, 0.000000
3.999998, 4.099998, 0.100000
4.099998, 4.199998, 0.000000
4.199998, 4.299998, 0.000000
4.299998, 4.399998, 0.000000
4.399998, 4.499998, 0.000000
4.499998, 4.599998, 0.000000
4.599998, 4.699998, 0.100000
4.699998, 4.799998, 0.000000
4.799998, 4.899998, 0.200000
4.899998, 4.999998, 0.000000
4.999998, 5.099998, 0.100000
5.099998, 5.199997, 0.000000
5.199997, 5.299997, 0.100000
5.299997, 5.399997, 0.000000
5.399997, 5.499997, 0.000000
5.499997, 5.599997, 0.000000
5.599997, 5.699997, 0.000000
5.699997, 5.799997, 0.000000
5.799997, 5.899997, 0.100000
5.899997, 5.999997, 0.100000
5.999997, 6.099997, 0.000000
6.099997, 6.199996, 0.000000
6.199996, 6.299996, 0.100000
6.299996, 6.399996, 0.100000
6.399996, 6.499996, 0.100000
6.499996, 6.599996, 0.000000
6.599996, 6.699996, 0.000000
6.699996, 6.799996, 0.000000
6.799996, 6.899996, 0.000000
6.899996, 6.999996, 0.000000
6.999996, 7.099996, 0.000000
7.099996, 7.199996, 0.000000
7.199996, 7.299995, 0.100000
7.299995, 7.399995, 0.200000
7.399995, 7.499995, 0.000000
7.499995, 7.599995, 0.000000
7.599995, 7.699995, 0.100000
7.699995, 7.799995, 0.000000
7.799995, 7.899995, 0.000000
7.899995, 7.999995, 0.300000
7.999995, 8.099995, 0.100000
8.099995, 8.199995, 0.000000
8.199995, 8.299995, 0.000000
8.299995, 8.399996, 0.100000
8.399996, 8.499996, 0.100000
8.499996, 8.599997, 0.000000
8.599997, 8.699997, 0.200000
8.699997, 8.799997, 0.000000
8.799997, 8.899998, 0.000000
8.899998, 8.999998, 0.000000
8.999998, 9.099998, 0.000000
9.099998, 9.199999, 0.000000
9.199999, 9.299999, 0.000000
9.299999, 9.400000, 0.000000
9.400000, 9.500000, 0.000000
9.500000, 9.600000, 0.000000
9.600000, 9.700001, 0.000000
9.700001, 9.800001, 0.100000
9.800001, 9.900002, 0.100000
9.900002, 10.000002, 0.000000
10.000002, 10.100002, 0.000000
10.100002, 10.200003, 0.000000
10.200003, 10.300003, 0.000000
10.300003, 10.400003, 0.000000
10.400003, 10.500004, 0.000000
10.500004, 10.600004, 0.000000
10.600004, 10.700005, 0.000000
10.700005, 10.800005, 0.000000
10.800005, 10.900005, 0.000000
10.900005, 11.000006, 0.000000
