top, rate
4000, 25.800000
4160, 3.000000
4320, 4.600000
4480, 6.100000
4640, 8.200000
4800, 9.200000
4960, 7.000000
5120, 7.800000
5280, 6.300000
5440, 9.200000
5600, 8.400000
5760, 9.400000
5920, 10.300000
6080, 10.500000
6240, 10.900000
6400, 11.300000
6560, 9.700000
6720, 11.200000
6880, 12.300000
7040, 11.600000
7200, 12.700000
7360, 14.200000
7520, 13.300000
7680, 13.500000
7840, 13.900000
8000, 12.900000
8160, 13.800000
8320, 16.100000
8480, 16.300000
8640, 15.500000
8800, 15.000000
8960, 14.900000
9120, 15.000000
9280, 15.200000
9440, 12.000000
9600, 17.700000
9760, 16.200000
9920, 15.200000
10080, 14.000000
10240, 17.200000
10400, 17.400000
10560, 17.900000
10720, 15.800000
10880, 15.900000
11040, 15.800000
11200, 16.400000
11360, 19.100000
11520, 17.700000
11680, 16.200000
11840, 15.400000
12000, 14.500000
12160, 17.900000
12320, 16.700000
12480, 16.200000
12640, 17.800000
12800, 17.700000
12960, 16.200000
13120, 16.300000
13280, 17.600000
13440, 16.800000
13600, 17.800000
13760, 17.500000
13920, 20.400000
14080, 19.300000
14240, 17.700000
14400, 19.400000
14560, 18.800000
14720, 17.400000
14880, 18.200000
15040, 18.400000
15200, 19.500000
15360, 19.200000
15520, 19.100000
15680, 19.500000
15840, 19.800000
16000, 22.300000
16160, 19.300000
16320, 49.800000
16480, 67.400000
16640, 60.000000
16800, 64.000000
16960, 58.300000
17120, 64.300000
17280, 65.800000
17440, 62.700000
17600, 68.100000
17760, 67.200000
17920, 64.000000
18080, 63.000000
18240, 66.100000
18400, 66.300000
18560, 60.900000
18720, 64.200000
18880, 68.300000
19040, 61.000000
19200, 62.500000
19360, 66.600000
19520, 64.900000
19680, 62.000000
19840, 64.200000
