lower (MeV), upper (MeV), rate
9.350018, 9.400018, 0.052113
9.400018, 9.450018, 0.032394
9.450018, 9.500018, 0.057746
9.500018, 9.550018, 0.042254
9.550018, 9.600019, 0.030986
9.600019, 9.650019, 0.026761
9.650019, 9.700019, 0.032394
9.700019, 9.750019, 0.036620
9.750019, 9.800019, 0.040845
9.800019, 9.850019, 0.053521
9.850019, 9.900020, 0.046479
9.900020, 9.950020, 0.043662
9.950020, 10.000020, 0.042254
10.000020, 10.050020, 0.035211
10.050020, 10.100020, 0.039437
10.100020, 10.150021, 0.040845
10.150021, 10.200021, 0.059155
10.200021, 10.250021, 0.032394
10.250021, 10.300021, 0.025352
10.300021, 10.350021, 0.042254
10.350021, 10.400022, 0.022535
10.400022, 10.450022, 0.043662
10.450022, 10.500022, 0.049296
10.500022, 10.550022, 0.028169
10.550022, 10.600022, 0.025352
10.600022, 10.650023, 0.030986
10.650023, 10.700023, 0.035211
10.700023, 10.750023, 0.036620
10.750023, 10.800023, 0.033803
10.800023, 10.850023, 0.035211
10.850023, 10.900023, 0.030986
10.900023, 10.950024, 0.047887
10.950024, 11.000024, 0.038028
11.000024, 11.050024, 2.995775
11.050024, 11.100024, 0.033803
11.100024, 11.150024, 0.425352
11.150024, 11.200025, 0.039437
11.200025, 11.250025, 0.030986
11.250025, 11.300025, 0.030986
11.300025, 11.350025, 0.039437
11.350025, 11.400025, 0.057746
11.400025, 11.450026, 0.038028
11.450026, 11.500026, 0.040845
11.500026, 11.550026, 0.046479
11.550026, 11.600026, 0.045070
11.600026, 11.650026, 0.033803
11.650026, 11.700027, 4.538028
11.700027, 11.750027, 0.029577
11.750027, 11.800027, 0.918310
11.800027, 11.850027, 0.030986
11.850027, 11.900027, 1.143662
11.900027, 11.950027, 0.035211
11.950027, 12.000028, 0.040845
