lower (MeV), upper (MeV), rate
0.000000, 0.100000, 2089.050049
0.100000, 0.200000, 1542.799927
0.200000, 0.300000, 1370.449951
0.300000, 0.400000, 1375.099976
0.400000, 0.500000, 604.450012
0.500000, 0.600000, 482.750000
0.600000, 0.700000, 418.799988
0.700000, 0.800000, 367.750000
0.800000, 0.900000, 330.899994
0.900000, 1.000000, 307.450012
1.000000, 1.100000, 278.700012
1.100000, 1.200000, 269.350006
1.200000, 1.300000, 244.199997
1.300000, 1.400000, 238.399994
1.400000, 1.500000, 213.550003
1.500000, 1.600000, 209.949997
1.600000, 1.700000, 207.000000
1.700000, 1.800000, 193.149994
1.800000, 1.900000, 162.250000
1.900000, 2.000000, 157.500000
2.000000, 2.100000, 211.699997
2.100000, 2.200000, 211.100006
2.200000, 2.300000, 128.600006
2.300000, 2.400000, 90.550003
2.400000, 2.500000, 89.349998
2.500000, 2.600000, 88.650002
2.600000, 2.700000, 85.050003
2.700000, 2.799999, 82.050003
2.799999, 2.899999, 84.449997
2.899999, 2.999999, 77.000000
2.999999, 3.099999, 81.750000
3.099999, 3.199999, 80.349998
3.199999, 3.299999, 92.349998
3.299999, 3.399999, 91.300003
3.399999, 3.499999, 89.300003
3.499999, 3.599999, 94.449997
3.599999, 3.699999, 103.699997
3.699999, 3.799999, 118.349998
3.799999, 3.899998, 110.650002
3.899998, 3.999998, 95.349998
3.999998, 4.099998, 95.099998
4.099998, 4.199998, 106.900002
4.199998, 4.299998, 100.099998
4.299998, 4.399998, 63.950001
4.399998, 4.499998, 41.400002
4.499998, 4.599998, 31.200001
4.599998, 4.699998, 26.350000
4.699998, 4.799998, 23.850000
4.799998, 4.899998, 22.350000
4.899998, 4.999998, 22.400000
4.999998, 5.099998, 20.400000
5.099998, 5.199997, 19.750000
5.199997, 5.299997, 20.500000
5.299997, 5.399997, 18.400000
5.399997, 5.499997, 18.050001
5.499997, 5.599997, 16.600000
5.599997, 5.699997, 17.200001
5.699997, 5.799997, 16.049999
5.799997, 5.899997, 14.500000
5.899997, 5.999997, 13.000000
5.999997, 6.099997, 13.099999
6.099997, 6.199996, 12.400000
6.199996, 6.299996, 10.450000
6.299996, 6.399996, 8.150000
6.399996, 6.499996, 9.400000
6.499996, 6.599996, 7.000000
6.599996, 6.699996, 6.700000
6.699996, 6.799996, 6.550000
6.799996, 6.899996, 5.800000
6.899996, 6.999996, 5.450000
6.999996, 7.099996, 5.900000
7.099996, 7.199996, 4.800000
7.199996, 7.299995, 4.350000
7.299995, 7.399995, 3.800000
7.399995, 7.499995, 2.500000
7.499995, 7.599995, 3.050000
7.599995, 7.699995, 3.450000
7.699995, 7.799995, 2.150000
7.799995, 7.899995, 2.250000
7.899995, 7.999995, 1.750000
7.999995, 8.099995, 1.350000
8.099995, 8.199995, 1.000000
8.199995, 8.299995, 0.550000
