lower (MeV), upper (MeV), rate
0.000000, 0.100000, 1466.750000
0.100000, 0.200000, 1149.349976
0.200000, 0.300000, 1080.599976
0.300000, 0.400000, 1080.799927
0.400000, 0.500000, 453.649994
0.500000, 0.600000, 389.149994
0.600000, 0.700000, 335.850006
0.700000, 0.800000, 298.200012
0.800000, 0.900000, 270.299988
0.900000, 1.000000, 252.800003
1.000000, 1.100000, 237.899994
1.100000, 1.200000, 220.449997
1.200000, 1.300000, 207.150009
1.300000, 1.400000, 194.149994
1.400000, 1.500000, 175.949997
1.500000, 1.600000, 169.199997
1.600000, 1.700000, 177.199997
1.700000, 1.800000, 165.500000
1.800000, 1.900000, 148.949997
1.900000, 2.000000, 124.650002
2.000000, 2.100000, 153.050003
2.100000, 2.200000, 204.149994
2.200000, 2.300000, 136.399994
2.300000, 2.400000, 89.800003
2.400000, 2.500000, 75.550003
2.500000, 2.600000, 74.500000
2.600000, 2.700000, 68.650002
2.700000, 2.799999, 71.500000
2.799999, 2.899999, 68.300003
2.899999, 2.999999, 69.099998
2.999999, 3.099999, 63.200001
3.099999, 3.199999, 64.300003
3.199999, 3.299999, 77.099998
3.299999, 3.399999, 76.199997
3.399999, 3.499999, 75.099998
3.499999, 3.599999, 73.949997
3.599999, 3.699999, 77.199997
3.699999, 3.799999, 93.500000
3.799999, 3.899998, 105.000000
3.899998, 3.999998, 94.849998
3.999998, 4.099998, 76.250000
4.099998, 4.199998, 74.449997
4.199998, 4.299998, 95.000000
4.299998, 4.399998, 93.300003
4.399998, 4.499998, 58.000000
4.499998, 4.599998, 36.750000
4.599998, 4.699998, 24.600000
4.699998, 4.799998, 21.500000
4.799998, 4.899998, 19.100000
4.899998, 4.999998, 19.150000
4.999998, 5.099998, 16.500000
5.099998, 5.199997, 17.600000
5.199997, 5.299997, 16.050001
5.299997, 5.399997, 15.750000
5.399997, 5.499997, 14.650000
5.499997, 5.599997, 13.250000
5.599997, 5.699997, 13.450000
5.699997, 5.799997, 12.300000
5.799997, 5.899997, 12.950000
5.899997, 5.999997, 11.350000
5.999997, 6.099997, 12.550000
6.099997, 6.199996, 11.350000
6.199996, 6.299996, 10.300000
6.299996, 6.399996, 9.050000
6.399996, 6.499996, 8.700000
6.499996, 6.599996, 8.100000
6.599996, 6.699996, 6.400000
6.699996, 6.799996, 6.350000
6.799996, 6.899996, 4.950000
6.899996, 6.999996, 5.650000
6.999996, 7.099996, 5.000000
7.099996, 7.199996, 4.800000
7.199996, 7.299995, 4.850000
7.299995, 7.399995, 3.600000
7.399995, 7.499995, 2.650000
7.499995, 7.599995, 2.800000
7.599995, 7.699995, 2.900000
7.699995, 7.799995, 2.550000
7.799995, 7.899995, 2.500000
7.899995, 7.999995, 1.600000
7.999995, 8.099995, 1.500000
8.099995, 8.199995, 1.250000
8.199995, 8.299995, 1.200000
