lower (MeV), upper (MeV), rate
0.000000, 0.100000, 1405.750000
0.100000, 0.200000, 1069.299927
0.200000, 0.300000, 1036.950073
0.300000, 0.400000, 956.200012
0.400000, 0.500000, 418.350006
0.500000, 0.600000, 365.200012
0.600000, 0.700000, 318.700012
0.700000, 0.800000, 270.549988
0.800000, 0.900000, 257.950012
0.900000, 1.000000, 238.500000
1.000000, 1.100000, 226.699997
1.100000, 1.200000, 208.449997
1.200000, 1.300000, 197.149994
1.300000, 1.400000, 186.449997
1.400000, 1.500000, 164.199997
1.500000, 1.600000, 168.800003
1.600000, 1.700000, 162.149994
1.700000, 1.800000, 147.649994
1.800000, 1.900000, 125.849998
1.900000, 2.000000, 129.399994
2.000000, 2.100000, 201.000000
2.100000, 2.200000, 146.550003
2.200000, 2.300000, 89.650002
2.300000, 2.400000, 73.150002
2.400000, 2.500000, 73.200005
2.500000, 2.600000, 68.900002
2.600000, 2.700000, 67.799995
2.700000, 2.799999, 66.949997
2.799999, 2.899999, 65.449997
2.899999, 2.999999, 61.250000
2.999999, 3.099999, 62.750000
3.099999, 3.199999, 73.450005
3.199999, 3.299999, 73.900002
3.299999, 3.399999, 76.300003
3.399999, 3.499999, 70.750000
3.499999, 3.599999, 79.750000
3.599999, 3.699999, 103.950005
3.699999, 3.799999, 94.349998
3.799999, 3.899998, 77.500000
3.899998, 3.999998, 68.849998
3.999998, 4.099998, 85.500000
4.099998, 4.199998, 101.000000
4.199998, 4.299998, 64.550003
4.299998, 4.399998, 37.900002
4.399998, 4.499998, 30.100000
4.499998, 4.599998, 22.600000
4.599998, 4.699998, 19.799999
4.699998, 4.799998, 17.750000
4.799998, 4.899998, 18.500000
4.899998, 4.999998, 15.200000
4.999998, 5.099998, 16.000000
5.099998, 5.199997, 15.700000
5.199997, 5.299997, 15.350000
5.299997, 5.399997, 14.100000
5.399997, 5.499997, 15.100000
5.499997, 5.599997, 14.050000
5.599997, 5.699997, 10.850000
5.699997, 5.799997, 12.400000
5.799997, 5.899997, 10.400000
5.899997, 5.999997, 10.050000
5.999997, 6.099997, 9.450000
6.099997, 6.199996, 8.400000
6.199996, 6.299996, 8.450000
6.299996, 6.399996, 8.450000
6.399996, 6.499996, 6.650000
6.499996, 6.599996, 5.650000
6.599996, 6.699996, 5.100000
6.699996, 6.799996, 4.850000
6.799996, 6.899996, 5.200000
6.899996, 6.999996, 3.350000
6.999996, 7.099996, 3.800000
7.099996, 7.199996, 3.800000
7.199996, 7.299995, 2.450000
7.299995, 7.399995, 2.200000
7.399995, 7.499995, 2.650000
7.499995, 7.599995, 2.150000
7.599995, 7.699995, 3.150000
7.699995, 7.799995, 2.350000
7.799995, 7.899995, 1.600000
7.899995, 7.999995, 1.300000
7.999995, 8.099995, 1.450000
8.099995, 8.199995, 0.900000
8.199995, 8.299995, 0.400000
