lower (MeV), upper (MeV), rate
0.000000, 0.100000, 1422.400024
0.100000, 0.200000, 1114.150024
0.200000, 0.300000, 771.400024
0.300000, 0.400000, 783.500000
0.400000, 0.500000, 596.099976
0.500000, 0.600000, 305.000000
0.600000, 0.700000, 256.149994
0.700000, 0.800000, 234.649994
0.800000, 0.900000, 198.399994
0.900000, 1.000000, 188.199997
1.000000, 1.100000, 170.199997
1.100000, 1.200000, 158.399994
1.200000, 1.300000, 145.250000
1.300000, 1.400000, 143.300003
1.400000, 1.500000, 121.300003
1.500000, 1.600000, 121.299995
1.600000, 1.700000, 123.449997
1.700000, 1.800000, 113.500000
1.800000, 1.900000, 94.099998
1.900000, 2.000000, 85.650002
2.000000, 2.100000, 127.500000
2.100000, 2.200000, 124.550003
2.200000, 2.300000, 65.349998
2.300000, 2.400000, 51.799999
2.400000, 2.500000, 46.799999
2.500000, 2.600000, 44.849998
2.600000, 2.700000, 40.549999
2.700000, 2.799999, 41.450001
2.799999, 2.899999, 40.950001
2.899999, 2.999999, 39.200001
2.999999, 3.099999, 41.099998
3.099999, 3.199999, 45.049999
3.199999, 3.299999, 45.400002
3.299999, 3.399999, 42.149998
3.399999, 3.499999, 42.650002
3.499999, 3.599999, 46.250000
3.599999, 3.699999, 51.849998
3.699999, 3.799999, 54.599998
3.799999, 3.899998, 47.200001
3.899998, 3.999998, 40.799999
3.999998, 4.099998, 41.849998
4.099998, 4.199998, 50.950001
4.199998, 4.299998, 47.799999
4.299998, 4.399998, 28.600000
4.399998, 4.499998, 17.150000
4.499998, 4.599998, 15.850000
4.599998, 4.699998, 13.400000
4.699998, 4.799998, 12.000000
4.799998, 4.899998, 12.400000
4.899998, 4.999998, 11.300000
4.999998, 5.099998, 10.950000
5.099998, 5.199997, 8.250000
5.199997, 5.299997, 9.450000
5.299997, 5.399997, 9.000000
5.399997, 5.499997, 9.850000
5.499997, 5.599997, 8.750000
5.599997, 5.699997, 8.400001
5.699997, 5.799997, 7.350000
5.799997, 5.899997, 7.800000
5.899997, 5.999997, 8.300000
5.999997, 6.099997, 7.100000
6.099997, 6.199996, 7.050000
6.199996, 6.299996, 6.900000
6.299996, 6.399996, 6.100000
6.399996, 6.499996, 5.100000
6.499996, 6.599996, 4.700000
6.599996, 6.699996, 4.100000
6.699996, 6.799996, 4.000000
6.799996, 6.899996, 3.200000
6.899996, 6.999996, 3.200000
6.999996, 7.099996, 3.600000
7.099996, 7.199996, 2.700000
7.199996, 7.299995, 2.950000
7.299995, 7.399995, 2.350000
7.399995, 7.499995, 1.850000
7.499995, 7.599995, 2.150000
7.599995, 7.699995, 1.950000
7.699995, 7.799995, 2.250000
7.799995, 7.899995, 1.700000
7.899995, 7.999995, 2.050000
7.999995, 8.099995, 1.450000
8.099995, 8.199995, 1.000000
8.199995, 8.299995, 1.000000
