lower (MeV), upper (MeV), rate
0.000000, 0.100000, 774.150024
0.100000, 0.200000, 608.400024
0.200000, 0.300000, 476.850006
0.300000, 0.400000, 570.349976
0.400000, 0.500000, 334.100006
0.500000, 0.600000, 217.849991
0.600000, 0.700000, 184.949997
0.700000, 0.800000, 167.050003
0.800000, 0.900000, 147.000000
0.900000, 1.000000, 135.949997
1.000000, 1.100000, 123.900002
1.100000, 1.200000, 118.400002
1.200000, 1.300000, 108.599998
1.300000, 1.400000, 105.300003
1.400000, 1.500000, 98.250000
1.500000, 1.600000, 89.250000
1.600000, 1.700000, 86.300003
1.700000, 1.800000, 91.349998
1.800000, 1.900000, 81.300003
1.900000, 2.000000, 69.650002
2.000000, 2.100000, 60.049999
2.100000, 2.200000, 83.050003
2.200000, 2.300000, 105.050003
2.300000, 2.400000, 60.599998
2.400000, 2.500000, 42.200001
2.500000, 2.600000, 37.849998
2.600000, 2.700000, 37.200001
2.700000, 2.799999, 30.549999
2.799999, 2.899999, 32.750000
2.899999, 2.999999, 33.099998
2.999999, 3.099999, 30.800001
3.099999, 3.199999, 30.350000
3.199999, 3.299999, 31.100000
3.299999, 3.399999, 33.549999
3.399999, 3.499999, 36.100002
3.499999, 3.599999, 33.650002
3.599999, 3.699999, 34.049999
3.699999, 3.799999, 31.049999
3.799999, 3.899998, 39.099998
3.899998, 3.999998, 45.350002
3.999998, 4.099998, 37.599998
4.099998, 4.199998, 30.650000
4.199998, 4.299998, 31.400000
4.299998, 4.399998, 39.400002
4.399998, 4.499998, 36.049999
4.499998, 4.599998, 23.350000
4.599998, 4.699998, 13.500000
4.699998, 4.799998, 10.300000
4.799998, 4.899998, 10.650000
4.899998, 4.999998, 10.050000
4.999998, 5.099998, 8.550000
5.099998, 5.199997, 8.300000
5.199997, 5.299997, 7.250000
5.299997, 5.399997, 7.100000
5.399997, 5.499997, 8.800000
5.499997, 5.599997, 6.100000
5.599997, 5.699997, 6.150000
5.699997, 5.799997, 7.100000
5.799997, 5.899997, 6.550000
5.899997, 5.999997, 5.650000
5.999997, 6.099997, 5.300000
6.099997, 6.199996, 4.750000
6.199996, 6.299996, 4.200000
6.299996, 6.399996, 4.950000
6.399996, 6.499996, 4.700000
6.499996, 6.599996, 4.400000
6.599996, 6.699996, 4.400000
6.699996, 6.799996, 4.200000
6.799996, 6.899996, 2.400000
6.899996, 6.999996, 3.250000
6.999996, 7.099996, 3.250000
7.099996, 7.199996, 3.200000
7.199996, 7.299995, 3.250000
7.299995, 7.399995, 2.400000
7.399995, 7.499995, 2.650000
7.499995, 7.599995, 1.850000
7.599995, 7.699995, 2.100000
7.699995, 7.799995, 1.750000
7.799995, 7.899995, 1.450000
7.899995, 7.999995, 1.450000
7.999995, 8.099995, 1.850000
8.099995, 8.199995, 1.400000
8.199995, 8.299995, 0.950000
