lower (MeV), upper (MeV), rate
0.000000, 0.100000, 2052.550049
0.100000, 0.200000, 1549.500000
0.200000, 0.300000, 1256.300049
0.300000, 0.400000, 1291.349976
0.400000, 0.500000, 875.200012
0.500000, 0.600000, 474.950012
0.600000, 0.700000, 403.950012
0.700000, 0.800000, 359.550018
0.800000, 0.900000, 322.350006
0.900000, 1.000000, 302.649994
1.000000, 1.100000, 275.000000
1.100000, 1.200000, 251.600006
1.200000, 1.300000, 241.750000
1.300000, 1.400000, 220.850006
1.400000, 1.500000, 204.300003
1.500000, 1.600000, 186.699997
1.600000, 1.700000, 196.149994
1.700000, 1.800000, 192.350006
1.800000, 1.900000, 164.100006
1.900000, 2.000000, 141.100006
2.000000, 2.100000, 130.300003
2.100000, 2.200000, 208.149994
2.200000, 2.300000, 194.449997
2.300000, 2.400000, 104.799995
2.400000, 2.500000, 83.449997
2.500000, 2.600000, 75.650002
2.600000, 2.700000, 76.599998
2.700000, 2.799999, 71.750000
2.799999, 2.899999, 70.050003
2.899999, 2.999999, 74.449997
2.999999, 3.099999, 68.050003
3.099999, 3.199999, 64.599998
3.199999, 3.299999, 72.900002
3.299999, 3.399999, 77.550003
3.399999, 3.499999, 74.599998
3.499999, 3.599999, 75.750000
3.599999, 3.699999, 75.699997
3.699999, 3.799999, 86.849998
3.799999, 3.899998, 106.349998
3.899998, 3.999998, 98.599998
3.999998, 4.099998, 82.800003
4.099998, 4.199998, 69.650002
4.199998, 4.299998, 84.299995
4.299998, 4.399998, 99.400002
4.399998, 4.499998, 68.699997
4.499998, 4.599998, 44.950001
4.599998, 4.699998, 31.750000
4.699998, 4.799998, 26.000000
4.799998, 4.899998, 23.150000
4.899998, 4.999998, 21.799999
4.999998, 5.099998, 20.550001
5.099998, 5.199997, 18.900000
5.199997, 5.299997, 18.000000
5.299997, 5.399997, 14.650000
5.399997, 5.499997, 14.850000
5.499997, 5.599997, 17.250000
5.599997, 5.699997, 15.599999
5.699997, 5.799997, 14.900001
5.799997, 5.899997, 15.800000
5.899997, 5.999997, 14.599999
5.999997, 6.099997, 12.700000
6.099997, 6.199996, 11.100000
6.199996, 6.299996, 10.400001
6.299996, 6.399996, 11.000000
6.399996, 6.499996, 9.950000
6.499996, 6.599996, 9.700000
6.599996, 6.699996, 9.000000
6.699996, 6.799996, 7.150000
6.799996, 6.899996, 6.650000
6.899996, 6.999996, 6.450000
6.999996, 7.099996, 4.550000
7.099996, 7.199996, 3.750000
7.199996, 7.299995, 5.000000
7.299995, 7.399995, 3.450000
7.399995, 7.499995, 2.950000
7.499995, 7.599995, 3.150000
7.599995, 7.699995, 2.650000
7.699995, 7.799995, 2.750000
7.799995, 7.899995, 3.350000
7.899995, 7.999995, 3.150000
7.999995, 8.099995, 1.950000
8.099995, 8.199995, 1.050000
8.199995, 8.299995, 1.450000
