lower (MeV), upper (MeV), rate
0.000000, 0.100000, 2100.949951
0.100000, 0.200000, 1564.099976
0.200000, 0.300000, 1324.949951
0.300000, 0.400000, 1444.900024
0.400000, 0.500000, 624.900024
0.500000, 0.600000, 476.200012
0.600000, 0.700000, 429.000000
0.700000, 0.800000, 366.200012
0.800000, 0.900000, 330.649994
0.900000, 1.000000, 306.450012
1.000000, 1.100000, 279.549988
1.100000, 1.200000, 255.899994
1.200000, 1.300000, 245.300003
1.300000, 1.400000, 227.800003
1.400000, 1.500000, 205.949997
1.500000, 1.600000, 211.100006
1.600000, 1.700000, 207.600006
1.700000, 1.800000, 182.800003
1.800000, 1.900000, 161.849991
1.900000, 2.000000, 143.800003
2.000000, 2.100000, 225.399994
2.100000, 2.200000, 211.250000
2.200000, 2.300000, 121.949997
2.300000, 2.400000, 90.500000
2.400000, 2.500000, 85.949997
2.500000, 2.600000, 82.599998
2.600000, 2.700000, 78.150002
2.700000, 2.799999, 78.550003
2.799999, 2.899999, 78.800003
2.899999, 2.999999, 73.699997
2.999999, 3.099999, 78.099998
3.099999, 3.199999, 84.599998
3.199999, 3.299999, 88.299995
3.299999, 3.399999, 87.299995
3.399999, 3.499999, 90.599998
3.499999, 3.599999, 88.500000
3.599999, 3.699999, 114.400002
3.699999, 3.799999, 120.750000
3.799999, 3.899998, 102.449997
3.899998, 3.999998, 89.199997
3.999998, 4.099998, 93.699997
4.099998, 4.199998, 115.449997
4.199998, 4.299998, 94.199997
4.299998, 4.399998, 57.150002
4.399998, 4.499998, 37.400002
4.499998, 4.599998, 30.700001
4.599998, 4.699998, 26.699999
4.699998, 4.799998, 23.250000
4.799998, 4.899998, 21.450001
4.899998, 4.999998, 21.050001
4.999998, 5.099998, 20.049999
5.099998, 5.199997, 20.750000
5.199997, 5.299997, 18.700001
5.299997, 5.399997, 18.750000
5.399997, 5.499997, 17.600000
5.499997, 5.599997, 16.250000
5.599997, 5.699997, 16.400000
5.699997, 5.799997, 15.000000
5.799997, 5.899997, 15.200001
5.899997, 5.999997, 12.550000
5.999997, 6.099997, 11.800000
6.099997, 6.199996, 11.450000
6.199996, 6.299996, 11.400000
6.299996, 6.399996, 8.700000
6.399996, 6.499996, 8.750000
6.499996, 6.599996, 8.150000
6.599996, 6.699996, 7.250000
6.699996, 6.799996, 5.600000
6.799996, 6.899996, 5.050000
6.899996, 6.999996, 5.200000
6.999996, 7.099996, 5.350000
7.099996, 7.199996, 3.650000
7.199996, 7.299995, 3.500000
7.299995, 7.399995, 4.000000
7.399995, 7.499995, 2.750000
7.499995, 7.599995, 3.500000
7.599995, 7.699995, 3.150000
7.699995, 7.799995, 2.700000
7.799995, 7.899995, 1.800000
7.899995, 7.999995, 1.800000
7.999995, 8.099995, 1.450000
8.099995, 8.199995, 1.050000
8.199995, 8.299995, 0.750000
