lower (MeV), upper (MeV), rate
0.000000, 0.100000, 2133.899902
0.100000, 0.200000, 1653.500000
0.200000, 0.300000, 1316.450073
0.300000, 0.400000, 1436.650024
0.400000, 0.500000, 762.700012
0.500000, 0.600000, 477.399994
0.600000, 0.700000, 400.649994
0.700000, 0.800000, 363.250000
0.800000, 0.900000, 311.299988
0.900000, 1.000000, 301.600006
1.000000, 1.100000, 275.200012
1.100000, 1.200000, 261.250000
1.200000, 1.300000, 238.449997
1.300000, 1.400000, 224.199997
1.400000, 1.500000, 195.949997
1.500000, 1.600000, 197.899994
1.600000, 1.700000, 205.449997
1.700000, 1.800000, 182.500000
1.800000, 1.900000, 149.949997
1.900000, 2.000000, 141.150009
2.000000, 2.100000, 224.000000
2.100000, 2.200000, 189.699997
2.200000, 2.300000, 111.900002
2.300000, 2.400000, 88.549995
2.400000, 2.500000, 85.599998
2.500000, 2.600000, 82.650002
2.600000, 2.700000, 75.799995
2.700000, 2.799999, 74.900002
2.799999, 2.899999, 74.549995
2.899999, 2.999999, 77.099998
2.999999, 3.099999, 77.699997
3.099999, 3.199999, 87.599998
3.199999, 3.299999, 84.099998
3.299999, 3.399999, 85.250000
3.399999, 3.499999, 82.900002
3.499999, 3.599999, 94.250000
3.599999, 3.699999, 118.550003
3.699999, 3.799999, 105.900002
3.799999, 3.899998, 89.750000
3.899998, 3.999998, 82.599998
3.999998, 4.099998, 101.750000
4.099998, 4.199998, 103.300003
4.199998, 4.299998, 68.000000
4.299998, 4.399998, 42.400002
4.399998, 4.499998, 29.650000
4.499998, 4.599998, 24.250000
4.599998, 4.699998, 24.299999
4.699998, 4.799998, 23.250000
4.799998, 4.899998, 20.350000
4.899998, 4.999998, 19.200001
4.999998, 5.099998, 19.850000
5.099998, 5.199997, 18.650000
5.199997, 5.299997, 17.000000
5.299997, 5.399997, 15.450001
5.399997, 5.499997, 15.150001
5.499997, 5.599997, 16.600000
5.599997, 5.699997, 14.050000
5.699997, 5.799997, 13.200000
5.799997, 5.899997, 12.500000
5.899997, 5.999997, 12.000000
5.999997, 6.099997, 10.800000
6.099997, 6.199996, 10.600000
6.199996, 6.299996, 8.900000
6.299996, 6.399996, 7.700000
6.399996, 6.499996, 7.450000
6.499996, 6.599996, 5.900000
6.599996, 6.699996, 5.700000
6.699996, 6.799996, 5.100000
6.799996, 6.899996, 4.900000
6.899996, 6.999996, 4.650000
6.999996, 7.099996, 3.800000
7.099996, 7.199996, 3.950000
7.199996, 7.299995, 3.200000
7.299995, 7.399995, 3.700000
7.399995, 7.499995, 3.400000
7.499995, 7.599995, 2.700000
7.599995, 7.699995, 2.250000
7.699995, 7.799995, 1.950000
7.799995, 7.899995, 1.750000
7.899995, 7.999995, 1.300000
7.999995, 8.099995, 0.600000
8.099995, 8.199995, 0.750000
8.199995, 8.299995, 0.450000
