lower (MeV), upper (MeV), rate
0.000000, 0.100000, 985.349976
0.100000, 0.200000, 731.450012
0.200000, 0.300000, 671.849976
0.300000, 0.400000, 827.150024
0.400000, 0.500000, 312.200012
0.500000, 0.600000, 260.950012
0.600000, 0.700000, 224.600006
0.700000, 0.800000, 205.649994
0.800000, 0.900000, 183.949997
0.900000, 1.000000, 176.100006
1.000000, 1.100000, 161.550003
1.100000, 1.200000, 151.300003
1.200000, 1.300000, 136.949997
1.300000, 1.400000, 135.300003
1.400000, 1.500000, 116.800003
1.500000, 1.600000, 115.800003
1.600000, 1.700000, 121.449997
1.700000, 1.800000, 106.800003
1.800000, 1.900000, 93.250000
1.900000, 2.000000, 75.500000
2.000000, 2.100000, 107.650002
2.100000, 2.200000, 134.750000
2.200000, 2.300000, 74.900002
2.300000, 2.400000, 56.549999
2.400000, 2.500000, 48.099998
2.500000, 2.600000, 44.000000
2.600000, 2.700000, 46.000000
2.700000, 2.799999, 46.150002
2.799999, 2.899999, 43.400002
2.899999, 2.999999, 44.299999
2.999999, 3.099999, 41.200001
3.099999, 3.199999, 44.599998
3.199999, 3.299999, 49.200001
3.299999, 3.399999, 49.000000
3.399999, 3.499999, 46.200001
3.499999, 3.599999, 43.150002
3.599999, 3.699999, 52.399998
3.699999, 3.799999, 60.299999
3.799999, 3.899998, 55.150002
3.899998, 3.999998, 46.250000
3.999998, 4.099998, 40.849998
4.099998, 4.199998, 50.500000
4.199998, 4.299998, 55.250000
4.299998, 4.399998, 38.650002
4.399998, 4.499998, 21.650000
4.499998, 4.599998, 17.549999
4.599998, 4.699998, 14.950000
4.699998, 4.799998, 13.250000
4.799998, 4.899998, 12.150000
4.899998, 4.999998, 13.100000
4.999998, 5.099998, 11.300000
5.099998, 5.199997, 11.100000
5.199997, 5.299997, 11.700000
5.299997, 5.399997, 12.050000
5.399997, 5.499997, 11.650000
5.499997, 5.599997, 9.150001
5.599997, 5.699997, 9.750000
5.699997, 5.799997, 8.400000
5.799997, 5.899997, 8.400000
5.899997, 5.999997, 8.300000
5.999997, 6.099997, 6.100000
6.099997, 6.199996, 6.400000
6.199996, 6.299996, 6.650000
6.299996, 6.399996, 5.900000
6.399996, 6.499996, 5.550000
6.499996, 6.599996, 5.000000
6.599996, 6.699996, 4.150000
6.699996, 6.799996, 3.800000
6.799996, 6.899996, 3.850000
6.899996, 6.999996, 3.200000
6.999996, 7.099996, 3.100000
7.099996, 7.199996, 2.450000
7.199996, 7.299995, 2.750000
7.299995, 7.399995, 2.400000
7.399995, 7.499995, 2.700000
7.499995, 7.599995, 1.500000
7.599995, 7.699995, 1.700000
7.699995, 7.799995, 1.550000
7.799995, 7.899995, 1.400000
7.899995, 7.999995, 0.750000
7.999995, 8.099995, 0.750000
8.099995, 8.199995, 0.950000
8.199995, 8.299995, 0.800000
