lower (MeV), upper (MeV), rate
0.000000, 0.100000, 1738.750000
0.100000, 0.200000, 1369.650024
0.200000, 0.300000, 1168.750000
0.300000, 0.400000, 1219.150024
0.400000, 0.500000, 953.299988
0.500000, 0.600000, 466.899994
0.600000, 0.700000, 404.000000
0.700000, 0.800000, 353.299988
0.800000, 0.900000, 328.049988
0.900000, 1.000000, 287.950012
1.000000, 1.100000, 286.450012
1.100000, 1.200000, 267.200012
1.200000, 1.300000, 240.850006
1.300000, 1.400000, 230.449997
1.400000, 1.500000, 217.449997
1.500000, 1.600000, 198.550003
1.600000, 1.700000, 189.649994
1.700000, 1.800000, 188.899994
1.800000, 1.900000, 185.750000
1.900000, 2.000000, 176.449997
2.000000, 2.100000, 153.100006
2.100000, 2.200000, 136.250000
2.200000, 2.300000, 146.550003
2.300000, 2.400000, 205.649994
2.400000, 2.500000, 191.850006
2.500000, 2.600000, 118.099998
2.600000, 2.700000, 87.500000
2.700000, 2.799999, 80.849998
2.799999, 2.899999, 80.349998
2.899999, 2.999999, 73.049995
2.999999, 3.099999, 76.099998
3.099999, 3.199999, 71.750000
3.199999, 3.299999, 74.550003
3.299999, 3.399999, 70.849998
3.399999, 3.499999, 75.349998
3.499999, 3.599999, 79.000000
3.599999, 3.699999, 83.550003
3.699999, 3.799999, 80.299995
3.799999, 3.899998, 84.299995
3.899998, 3.999998, 87.349998
3.999998, 4.099998, 96.550003
4.099998, 4.199998, 108.300003
4.199998, 4.299998, 105.250000
4.299998, 4.399998, 89.650002
4.399998, 4.499998, 81.200005
4.499998, 4.599998, 89.050003
4.599998, 4.699998, 101.050003
4.699998, 4.799998, 81.449997
4.799998, 4.899998, 50.500000
4.899998, 4.999998, 34.400002
4.999998, 5.099998, 27.750000
5.099998, 5.199997, 23.800001
5.199997, 5.299997, 23.150000
5.299997, 5.399997, 20.900000
5.399997, 5.499997, 20.750000
5.499997, 5.599997, 19.299999
5.599997, 5.699997, 17.350000
5.699997, 5.799997, 20.150000
5.799997, 5.899997, 18.049999
5.899997, 5.999997, 16.750000
5.999997, 6.099997, 16.650000
6.099997, 6.199996, 16.050001
6.199996, 6.299996, 14.400000
6.299996, 6.399996, 13.650000
6.399996, 6.499996, 14.800000
6.499996, 6.599996, 12.400000
6.599996, 6.699996, 11.000000
6.699996, 6.799996, 10.250000
6.799996, 6.899996, 9.150001
6.899996, 6.999996, 9.200000
6.999996, 7.099996, 7.650000
7.099996, 7.199996, 7.700000
7.199996, 7.299995, 5.850000
7.299995, 7.399995, 5.700000
7.399995, 7.499995, 5.100000
7.499995, 7.599995, 4.550000
7.599995, 7.699995, 4.550000
7.699995, 7.799995, 4.550000
7.799995, 7.899995, 3.600000
7.899995, 7.999995, 2.700000
7.999995, 8.099995, 2.850000
8.099995, 8.199995, 3.250000
8.199995, 8.299995, 2.650000
