lower (MeV), upper (MeV), rate
0.000000, 0.100000, 1956.599976
0.100000, 0.200000, 1288.500000
0.200000, 0.300000, 1011.250000
0.300000, 0.400000, 1585.300049
0.400000, 0.500000, 514.250000
0.500000, 0.600000, 381.200012
0.600000, 0.700000, 335.899994
0.700000, 0.800000, 299.600006
0.800000, 0.900000, 264.000000
0.900000, 1.000000, 248.650009
1.000000, 1.100000, 214.150009
1.100000, 1.200000, 205.399994
1.200000, 1.300000, 193.350006
1.300000, 1.400000, 182.550003
1.400000, 1.500000, 161.100006
1.500000, 1.600000, 157.649994
1.600000, 1.700000, 173.399994
1.700000, 1.800000, 153.600006
1.800000, 1.900000, 136.000000
1.900000, 2.000000, 110.000000
2.000000, 2.100000, 148.449997
2.100000, 2.200000, 226.000000
2.200000, 2.300000, 115.699997
2.300000, 2.400000, 63.750000
2.400000, 2.500000, 55.500000
2.500000, 2.600000, 58.900002
2.600000, 2.700000, 51.950001
2.700000, 2.799999, 48.700001
2.799999, 2.899999, 47.150002
2.899999, 2.999999, 50.750000
2.999999, 3.099999, 45.500000
3.099999, 3.199999, 47.450001
3.199999, 3.299999, 52.950001
3.299999, 3.399999, 52.450001
3.399999, 3.499999, 52.750000
3.499999, 3.599999, 53.450001
3.599999, 3.699999, 55.149998
3.699999, 3.799999, 68.000000
3.799999, 3.899998, 68.400002
3.899998, 3.999998, 53.299999
3.999998, 4.099998, 41.250000
4.099998, 4.199998, 53.649998
4.199998, 4.299998, 69.949997
4.299998, 4.399998, 57.900002
4.399998, 4.499998, 28.850000
4.499998, 4.599998, 16.250000
4.599998, 4.699998, 16.049999
4.699998, 4.799998, 14.550000
4.799998, 4.899998, 12.150000
4.899998, 4.999998, 13.600000
4.999998, 5.099998, 12.100000
5.099998, 5.199997, 13.050000
5.199997, 5.299997, 11.850000
5.299997, 5.399997, 11.750000
5.399997, 5.499997, 11.750000
5.499997, 5.599997, 11.050000
5.599997, 5.699997, 11.300000
5.699997, 5.799997, 10.750000
5.799997, 5.899997, 9.450000
5.899997, 5.999997, 9.700000
5.999997, 6.099997, 9.050000
6.099997, 6.199996, 7.700000
6.199996, 6.299996, 8.850000
6.299996, 6.399996, 7.400000
6.399996, 6.499996, 7.950000
6.499996, 6.599996, 7.150000
6.599996, 6.699996, 6.000000
6.699996, 6.799996, 4.800000
6.799996, 6.899996, 4.000000
6.899996, 6.999996, 3.500000
6.999996, 7.099996, 4.050000
7.099996, 7.199996, 4.100000
7.199996, 7.299995, 3.700000
7.299995, 7.399995, 3.350000
7.399995, 7.499995, 2.350000
7.499995, 7.599995, 2.650000
7.599995, 7.699995, 2.350000
7.699995, 7.799995, 2.050000
7.799995, 7.899995, 2.600000
7.899995, 7.999995, 1.700000
7.999995, 8.099995, 1.600000
8.099995, 8.199995, 1.100000
8.199995, 8.299995, 1.000000
