lower (MeV), upper (MeV), rate
0.000000, 0.100000, 970.700012
0.100000, 0.200000, 708.899963
0.200000, 0.300000, 483.350006
0.300000, 0.400000, 460.100006
0.400000, 0.500000, 457.850006
0.500000, 0.600000, 208.949997
0.600000, 0.700000, 174.850006
0.700000, 0.800000, 151.149994
0.800000, 0.900000, 138.550003
0.900000, 1.000000, 124.900002
1.000000, 1.100000, 112.500000
1.100000, 1.200000, 104.500000
1.200000, 1.300000, 99.500000
1.300000, 1.400000, 90.199997
1.400000, 1.500000, 88.299995
1.500000, 1.600000, 78.599998
1.600000, 1.700000, 73.849998
1.700000, 1.800000, 79.349998
1.800000, 1.900000, 71.500000
1.900000, 2.000000, 63.000000
2.000000, 2.100000, 51.950001
2.100000, 2.200000, 72.550003
2.200000, 2.300000, 93.449997
2.300000, 2.400000, 54.149998
2.400000, 2.500000, 33.250000
2.500000, 2.600000, 31.700001
2.600000, 2.700000, 28.650000
2.700000, 2.799999, 28.049999
2.799999, 2.899999, 28.500000
2.899999, 2.999999, 27.650000
2.999999, 3.099999, 26.950001
3.099999, 3.199999, 25.750000
3.199999, 3.299999, 25.699999
3.299999, 3.399999, 30.650000
3.399999, 3.499999, 31.799999
3.499999, 3.599999, 27.450001
3.599999, 3.699999, 26.200001
3.699999, 3.799999, 32.600002
3.799999, 3.899998, 40.599998
3.899998, 3.999998, 36.700001
3.999998, 4.099998, 27.350000
4.099998, 4.199998, 27.850000
4.199998, 4.299998, 32.250000
4.299998, 4.399998, 35.849998
4.399998, 4.499998, 24.549999
4.499998, 4.599998, 12.650000
4.599998, 4.699998, 10.000000
4.699998, 4.799998, 7.950000
4.799998, 4.899998, 9.050000
4.899998, 4.999998, 6.850000
4.999998, 5.099998, 6.800000
5.099998, 5.199997, 7.500000
5.199997, 5.299997, 6.850000
5.299997, 5.399997, 6.450000
5.399997, 5.499997, 6.100000
5.499997, 5.599997, 5.200000
5.599997, 5.699997, 5.800000
5.699997, 5.799997, 5.600000
5.799997, 5.899997, 4.700000
5.899997, 5.999997, 5.850000
5.999997, 6.099997, 4.950000
6.099997, 6.199996, 5.250000
6.199996, 6.299996, 4.350000
6.299996, 6.399996, 4.350000
6.399996, 6.499996, 4.700000
6.499996, 6.599996, 4.050000
6.599996, 6.699996, 3.700000
6.699996, 6.799996, 3.550000
6.799996, 6.899996, 3.400000
6.899996, 6.999996, 2.550000
6.999996, 7.099996, 3.050000
7.099996, 7.199996, 2.350000
7.199996, 7.299995, 2.250000
7.299995, 7.399995, 1.850000
7.399995, 7.499995, 1.500000
7.499995, 7.599995, 1.600000
7.599995, 7.699995, 1.350000
7.699995, 7.799995, 1.550000
7.799995, 7.899995, 1.400000
7.899995, 7.999995, 1.400000
7.999995, 8.099995, 1.250000
8.099995, 8.199995, 0.750000
8.199995, 8.299995, 0.650000
