lower (MeV), upper (MeV), rate
0.000000, 0.100000, 1258.599976
0.100000, 0.200000, 920.200012
0.200000, 0.300000, 734.500000
0.300000, 0.400000, 842.799988
0.400000, 0.500000, 440.200012
0.500000, 0.600000, 307.649994
0.600000, 0.700000, 261.799988
0.700000, 0.800000, 235.800003
0.800000, 0.900000, 206.350006
0.900000, 1.000000, 198.449997
1.000000, 1.100000, 180.399994
1.100000, 1.200000, 166.350006
1.200000, 1.300000, 160.800003
1.300000, 1.400000, 151.100006
1.400000, 1.500000, 133.149994
1.500000, 1.600000, 127.050003
1.600000, 1.700000, 126.949997
1.700000, 1.800000, 125.250000
1.800000, 1.900000, 105.750000
1.900000, 2.000000, 95.650002
2.000000, 2.100000, 118.150002
2.100000, 2.200000, 143.649994
2.200000, 2.300000, 94.849998
2.300000, 2.400000, 62.150002
2.400000, 2.500000, 51.799999
2.500000, 2.600000, 50.299999
2.600000, 2.700000, 48.099998
2.700000, 2.799999, 48.399998
2.799999, 2.899999, 49.000000
2.899999, 2.999999, 44.799999
2.999999, 3.099999, 46.849998
3.099999, 3.199999, 48.250000
3.199999, 3.299999, 49.799999
3.299999, 3.399999, 51.650002
3.399999, 3.499999, 49.900002
3.499999, 3.599999, 51.549999
3.599999, 3.699999, 52.299999
3.699999, 3.799999, 63.299999
3.799999, 3.899998, 59.349998
3.899998, 3.999998, 51.750000
3.999998, 4.099998, 49.299999
4.099998, 4.199998, 50.799999
4.199998, 4.299998, 56.450001
4.299998, 4.399998, 42.250000
4.399998, 4.499998, 28.049999
4.499998, 4.599998, 19.650000
4.599998, 4.699998, 17.350000
4.699998, 4.799998, 15.050000
4.799998, 4.899998, 13.200000
4.899998, 4.999998, 13.200000
4.999998, 5.099998, 12.500000
5.099998, 5.199997, 13.800000
5.199997, 5.299997, 11.900000
5.299997, 5.399997, 11.750000
5.399997, 5.499997, 11.800000
5.499997, 5.599997, 9.950000
5.599997, 5.699997, 10.150000
5.699997, 5.799997, 9.099999
5.799997, 5.899997, 9.900000
5.899997, 5.999997, 8.500000
5.999997, 6.099997, 7.700000
6.099997, 6.199996, 7.350000
6.199996, 6.299996, 7.300000
6.299996, 6.399996, 6.500000
6.399996, 6.499996, 5.900000
6.499996, 6.599996, 5.250000
6.599996, 6.699996, 5.400000
6.699996, 6.799996, 4.550000
6.799996, 6.899996, 3.800000
6.899996, 6.999996, 3.400000
6.999996, 7.099996, 3.500000
7.099996, 7.199996, 3.600000
7.199996, 7.299995, 2.600000
7.299995, 7.399995, 2.950000
7.399995, 7.499995, 1.900000
7.499995, 7.599995, 2.300000
7.599995, 7.699995, 1.700000
7.699995, 7.799995, 1.850000
7.799995, 7.899995, 1.300000
7.899995, 7.999995, 1.200000
7.999995, 8.099995, 1.050000
8.099995, 8.199995, 1.000000
8.199995, 8.299995, 0.750000
