lower (MeV), upper (MeV), rate
0.000000, 0.100000, 1185.699951
0.100000, 0.200000, 905.399963
0.200000, 0.300000, 769.750000
0.300000, 0.400000, 902.750000
0.400000, 0.500000, 412.700012
0.500000, 0.600000, 311.200012
0.600000, 0.700000, 270.700012
0.700000, 0.800000, 249.650009
0.800000, 0.900000, 208.050003
0.900000, 1.000000, 202.350006
1.000000, 1.100000, 190.000000
1.100000, 1.200000, 181.399994
1.200000, 1.300000, 168.000000
1.300000, 1.400000, 155.449997
1.400000, 1.500000, 146.050003
1.500000, 1.600000, 138.600006
1.600000, 1.700000, 139.899994
1.700000, 1.800000, 129.699997
1.800000, 1.900000, 114.599998
1.900000, 2.000000, 97.849998
2.000000, 2.100000, 117.800003
2.100000, 2.200000, 163.550003
2.200000, 2.300000, 103.299995
2.300000, 2.400000, 68.750000
2.400000, 2.500000, 62.000000
2.500000, 2.600000, 59.849998
2.600000, 2.700000, 51.750000
2.700000, 2.799999, 52.250000
2.799999, 2.899999, 55.450001
2.899999, 2.999999, 52.599998
2.999999, 3.099999, 50.950001
3.099999, 3.199999, 50.049999
3.199999, 3.299999, 55.049999
3.299999, 3.399999, 56.650002
3.399999, 3.499999, 57.750000
3.499999, 3.599999, 53.650002
3.599999, 3.699999, 60.150002
3.699999, 3.799999, 73.500000
3.799999, 3.899998, 70.650002
3.899998, 3.999998, 60.849998
3.999998, 4.099998, 53.450001
4.099998, 4.199998, 62.350002
4.199998, 4.299998, 66.699997
4.299998, 4.399998, 46.850002
4.399998, 4.499998, 30.950001
4.499998, 4.599998, 21.949999
4.599998, 4.699998, 20.000000
4.699998, 4.799998, 18.400000
4.799998, 4.899998, 16.200001
4.899998, 4.999998, 15.450000
4.999998, 5.099998, 15.000000
5.099998, 5.199997, 14.650000
5.199997, 5.299997, 12.300000
5.299997, 5.399997, 12.950000
5.399997, 5.499997, 11.000000
5.499997, 5.599997, 12.500000
5.599997, 5.699997, 10.450000
5.699997, 5.799997, 10.750000
5.799997, 5.899997, 10.650001
5.899997, 5.999997, 10.099999
5.999997, 6.099997, 8.750000
6.099997, 6.199996, 6.950000
6.199996, 6.299996, 7.950000
6.299996, 6.399996, 7.300000
6.399996, 6.499996, 6.200000
6.499996, 6.599996, 6.250000
6.599996, 6.699996, 5.500000
6.699996, 6.799996, 4.850000
6.799996, 6.899996, 4.400000
6.899996, 6.999996, 5.250000
6.999996, 7.099996, 3.150000
7.099996, 7.199996, 3.150000
7.199996, 7.299995, 3.400000
7.299995, 7.399995, 2.550000
7.399995, 7.499995, 2.800000
7.499995, 7.599995, 3.150000
7.599995, 7.699995, 2.500000
7.699995, 7.799995, 2.450000
7.799995, 7.899995, 1.550000
7.899995, 7.999995, 1.300000
7.999995, 8.099995, 1.600000
8.099995, 8.199995, 1.350000
8.199995, 8.299995, 0.900000
