lower (MeV), upper (MeV), rate
0.000000, 0.100000, 1071.300049
0.100000, 0.200000, 865.650024
0.200000, 0.300000, 624.650024
0.300000, 0.400000, 698.400024
0.400000, 0.500000, 517.349976
0.500000, 0.600000, 267.549988
0.600000, 0.700000, 229.050003
0.700000, 0.800000, 211.149994
0.800000, 0.900000, 174.300003
0.900000, 1.000000, 164.199997
1.000000, 1.100000, 154.449997
1.100000, 1.200000, 145.699997
1.200000, 1.300000, 130.300003
1.300000, 1.400000, 128.800003
1.400000, 1.500000, 118.250000
1.500000, 1.600000, 107.400002
1.600000, 1.700000, 107.650002
1.700000, 1.800000, 105.099998
1.800000, 1.900000, 95.500000
1.900000, 2.000000, 81.800003
2.000000, 2.100000, 84.699997
2.100000, 2.200000, 131.850006
2.200000, 2.300000, 90.800003
2.300000, 2.400000, 51.450001
2.400000, 2.500000, 44.549999
2.500000, 2.600000, 43.350002
2.600000, 2.700000, 39.900002
2.700000, 2.799999, 35.650002
2.799999, 2.899999, 36.599998
2.899999, 2.999999, 38.000000
2.999999, 3.099999, 37.950001
3.099999, 3.199999, 36.299999
3.199999, 3.299999, 40.500000
3.299999, 3.399999, 41.900002
3.399999, 3.499999, 37.000000
3.499999, 3.599999, 38.250000
3.599999, 3.699999, 42.049999
3.699999, 3.799999, 50.599998
3.799999, 3.899998, 46.400002
3.899998, 3.999998, 43.150002
3.999998, 4.099998, 37.349998
4.099998, 4.199998, 36.899998
4.199998, 4.299998, 45.900002
4.299998, 4.399998, 38.650002
4.399998, 4.499998, 25.850000
4.499998, 4.599998, 17.000000
4.599998, 4.699998, 13.050000
4.699998, 4.799998, 12.599999
4.799998, 4.899998, 12.050000
4.899998, 4.999998, 10.400001
4.999998, 5.099998, 9.450000
5.099998, 5.199997, 9.849999
5.199997, 5.299997, 10.650000
5.299997, 5.399997, 10.850000
5.399997, 5.499997, 9.450000
5.499997, 5.599997, 8.450000
5.599997, 5.699997, 8.300000
5.699997, 5.799997, 9.300000
5.799997, 5.899997, 8.150000
5.899997, 5.999997, 8.350000
5.999997, 6.099997, 7.500000
6.099997, 6.199996, 5.800000
6.199996, 6.299996, 6.550000
6.299996, 6.399996, 5.350000
6.399996, 6.499996, 5.300000
6.499996, 6.599996, 5.250000
6.599996, 6.699996, 5.050000
6.699996, 6.799996, 4.550000
6.799996, 6.899996, 3.600000
6.899996, 6.999996, 3.650000
6.999996, 7.099996, 3.650000
7.099996, 7.199996, 2.700000
7.199996, 7.299995, 2.600000
7.299995, 7.399995, 2.100000
7.399995, 7.499995, 2.050000
7.499995, 7.599995, 1.800000
7.599995, 7.699995, 1.700000
7.699995, 7.799995, 1.650000
7.799995, 7.899995, 1.600000
7.899995, 7.999995, 0.950000
7.999995, 8.099995, 1.150000
8.099995, 8.199995, 1.100000
8.199995, 8.299995, 0.550000
